ID,Content Length,Content
558453914228490280,12,Fat assholes
560628694142418944,23,I didn't like it either
560628721447469056,25,Dropped at like episode 6
560628743497056256,8,Too slow
560628820705542176,17,The first one lol
560628898228862976,40,I heard the newest season is pretty good
560628906147708963,8,But like
560628937479159819,40,I'm not trynna go through that much shit
560629367999561738,37,Aot and sao were a huge waste of time
560629585452990465,1,^
560629720044011554,31,What's your favorite anime anth
560647133254909962,7,Mr.kro?
560647163374469130,25,Idr what the last one was
560654038547562496,29,That's the popup screen right
560654070927458314,25,I think I had that before
560654113487192067,19,Can you click on it
560995889582178306,33,Girls on the internet don't exist
561001783737188365,30,So fortnite and shit overwatch
561001802825465877,20,Nice choice in games
561001890901524480,25,Currently grinding sekiro
561001969104322560,14,Yeah I like it
561002004890124288,35,You will too if you've played souls
561002022413926413,13,Or bloodborne
