ID,Server,Channel,Content Length,Content
558453914228490280,masterani.me,lounge,12,Fat assholes
560628432204201984,masterani.me,games,32,Oh wow it's francis of the filth
560628694142418944,masterani.me,lounge,23,I didn't like it either
560628721447469056,masterani.me,lounge,25,Dropped at like episode 6
560628743497056256,masterani.me,lounge,8,Too slow
560628820705542176,masterani.me,lounge,17,The first one lol
560628898228862976,masterani.me,lounge,40,I heard the newest season is pretty good
560628906147708963,masterani.me,lounge,8,But like
560628937479159819,masterani.me,lounge,40,I'm not trynna go through that much shit
560629367999561738,masterani.me,lounge,37,Aot and sao were a huge waste of time
560629585452990465,masterani.me,lounge,1,^
560629720044011554,masterani.me,lounge,31,What's your favorite anime anth
560638183298039838,/r/Anime Discord!,tech,52,I meant it helps to have them while building your pc
560638354287493130,/r/Anime Discord!,tech,29,Sorry if that was unclear lol
560638451381174282,/r/Anime Discord!,tech,77,I just built mine recently and it would've taken me forever if I did it alone
