ID,Server,Channel,Content Length,Content
558455527965982743,r/teenagers,general,0,
558799448403083264,r/teenagers,general,5,HEllO
558799527721566234,r/teenagers,general,8,Двдыщжвь
558799631618932736,r/teenagers,general,2,Ha
558799786879221782,r/teenagers,general,28,Why can’t I type in Russian?
558799854793654362,r/teenagers,general,29,Лазыжыьбвбцбыбвтчщвжьыыджыжыз
558799877262540819,r/teenagers,general,8,Латвжвьв
558799887110635531,r/teenagers,general,11,Ьадыьвзвлтв
558799900473819137,r/teenagers,general,8,Вьчзсжцб
558843981996228648,r/teenagers,general,53,Hi I got muted for typing in Russian but I’m back now
