ID,Channel,Content Length,Content
558457539633741847,minecraft,8,hey bois
558457754461667335,off-topic,43,<@349300676461068288> check my new fab song
558457771201134634,off-topic,2,vc
558458140694413332,bot-commands,28,_play minami crying for name
558458658321858560,bot-commands,29,$play unravel tokyo ghoul ost
558458683995062291,bot-commands,5,$stop
558458759060652042,bot-commands,12,SMH I FORGOT
558458790341771264,bot-commands,6,HAHAHA
558458875658108929,bot-commands,29,_play tokyo ghoul ost unravel
558458965487386672,bot-commands,27,_play parasyte opening song
558459011280797716,bot-commands,3,Yes
558459046860947466,bot-commands,1,😭
558459852725288961,off-topic,35,hello my name is 399335297281687552
558460114475155467,off-topic,12,just because
558466100468252673,off-topic,26,<@507652511864193068> stop
558468480987430922,off-topic,41,<@553325840125919244> WHY R U TREEPUNCHER
558468763880783873,off-topic,19,HAHAHA TREE PUNCHER
558469062649315349,off-topic,2,Hi
558469589357297684,off-topic,13,What happened
558469607816429568,off-topic,5,AAAAA
558469635519807528,off-topic,6,Reeeee
558469653240741908,off-topic,9,RAVEN SMH
558469768814919691,off-topic,17,i got demonetized
558469840382459924,off-topic,25,YOU MONSTER WHOEVER U ARE
558469887232704548,bot-commands,5,!rank
558470056623865916,off-topic,22,I cant send pics Reeee
558470095496675340,off-topic,11,and join vc
558470117957173248,off-topic,3,smh
558470175473664013,off-topic,27,jura im gonna eat you alive
558470303856984064,off-topic,40,<@421171164786851850> u blocked me in ml
558470495016583248,off-topic,4,lmao
558470528105578529,off-topic,21,i can see u in my alt
558470539958550528,off-topic,3,smh
558470594731966484,off-topic,1,👀
558470686528765992,off-topic,9,heuhuehue
558470741209907206,off-topic,16,ok tree punchers
558470762068180993,off-topic,12,yall loveley
558470813733617665,off-topic,9,ur cuttee
558470856666382347,off-topic,19,I NEED MY RANK BACK
558471027152125972,off-topic,20,guys im marshy's alt
558471298951413770,off-topic,12,im gonna cry
558471416505434132,off-topic,15,WhAt Is StAdIa?
558471432892579841,off-topic,15,you dont know??
558471510764027914,off-topic,41,<@240989396122337282> xg is a beta tester
558471560097169523,bot-commands,1,😭
558471684341104672,off-topic,43,smh unblock em first  <@421171164786851850>
558471695136981004,off-topic,2,me
558471841908523008,off-topic,33,HAHAHA CHEESY IS A GLYDER COLIDER
558471864012505098,off-topic,11,What a noob
558471966651187203,off-topic,3,kek
558472029876256788,off-topic,18,Glider Coliders ew
558472135211745285,off-topic,23,Glider Coliders die pls
558472287775621146,off-topic,40,guys look im insulting glider coliders 😭
558472504478531584,off-topic,26,glider coliders are stupid
558472601660424203,off-topic,31,<@553431431179796489> cool rank
558472637454483471,off-topic,2,:3
558472822679404544,off-topic,7,Reeeeee
558472847333261312,off-topic,35,<@349300676461068288> ur rank sucks
558473387249238016,off-topic,144,<@421171164786851850> i watchedNL5 centimeters per second_a silent voice and kimi no nawaNLfinishedNLtokyo ghoul_ parasyte and nearly done with sao
558473410397863936,off-topic,16,am i a weeb now?
558473436763258880,off-topic,2,oh
558473468694495243,off-topic,4,Reee
558473530312884224,off-topic,31,also i love this anime pfp wait
558473727491440660,off-topic,4,this
558473793060995072,off-topic,2,ny
558473988683071491,off-topic,23,i cant send snips reeee
