ID,Server,Channel,Content Length,Content
558457539633741847,MINECRAFT,minecraft,8,hey bois
558457754461667335,MINECRAFT,off-topic,43,<@349300676461068288> check my new fab song
558457771201134634,MINECRAFT,off-topic,2,vc
558458140694413332,MINECRAFT,bot-commands,28,_play minami crying for name
558458658321858560,MINECRAFT,bot-commands,29,$play unravel tokyo ghoul ost
558458683995062291,MINECRAFT,bot-commands,5,$stop
558458759060652042,MINECRAFT,bot-commands,12,SMH I FORGOT
558458790341771264,MINECRAFT,bot-commands,6,HAHAHA
558458875658108929,MINECRAFT,bot-commands,29,_play tokyo ghoul ost unravel
558458965487386672,MINECRAFT,bot-commands,27,_play parasyte opening song
558459011280797716,MINECRAFT,bot-commands,3,Yes
558459046860947466,MINECRAFT,bot-commands,1,😭
558459852725288961,MINECRAFT,off-topic,35,hello my name is 399335297281687552
558460114475155467,MINECRAFT,off-topic,12,just because
558466100468252673,MINECRAFT,off-topic,26,<@507652511864193068> stop
558468480987430922,MINECRAFT,off-topic,41,<@553325840125919244> WHY R U TREEPUNCHER
558468763880783873,MINECRAFT,off-topic,19,HAHAHA TREE PUNCHER
558469062649315349,MINECRAFT,off-topic,2,Hi
558469589357297684,MINECRAFT,off-topic,13,What happened
558469607816429568,MINECRAFT,off-topic,5,AAAAA
558469635519807528,MINECRAFT,off-topic,6,Reeeee
558469653240741908,MINECRAFT,off-topic,9,RAVEN SMH
558469768814919691,MINECRAFT,off-topic,17,i got demonetized
558469840382459924,MINECRAFT,off-topic,25,YOU MONSTER WHOEVER U ARE
558469887232704548,MINECRAFT,bot-commands,5,!rank
558470056623865916,MINECRAFT,off-topic,22,I cant send pics Reeee
558470095496675340,MINECRAFT,off-topic,11,and join vc
558470117957173248,MINECRAFT,off-topic,3,smh
558470175473664013,MINECRAFT,off-topic,27,jura im gonna eat you alive
558470303856984064,MINECRAFT,off-topic,40,<@421171164786851850> u blocked me in ml
558470495016583248,MINECRAFT,off-topic,4,lmao
558470528105578529,MINECRAFT,off-topic,21,i can see u in my alt
558470539958550528,MINECRAFT,off-topic,3,smh
558470594731966484,MINECRAFT,off-topic,1,👀
558470686528765992,MINECRAFT,off-topic,9,heuhuehue
558470741209907206,MINECRAFT,off-topic,16,ok tree punchers
558470762068180993,MINECRAFT,off-topic,12,yall loveley
558470813733617665,MINECRAFT,off-topic,9,ur cuttee
558470856666382347,MINECRAFT,off-topic,19,I NEED MY RANK BACK
558471027152125972,MINECRAFT,off-topic,20,guys im marshy's alt
558471298951413770,MINECRAFT,off-topic,12,im gonna cry
558471416505434132,MINECRAFT,off-topic,15,WhAt Is StAdIa?
558471432892579841,MINECRAFT,off-topic,15,you dont know??
558471510764027914,MINECRAFT,off-topic,41,<@240989396122337282> xg is a beta tester
558471560097169523,MINECRAFT,bot-commands,1,😭
558471684341104672,MINECRAFT,off-topic,43,smh unblock em first  <@421171164786851850>
558471695136981004,MINECRAFT,off-topic,2,me
558471841908523008,MINECRAFT,off-topic,33,HAHAHA CHEESY IS A GLYDER COLIDER
558471864012505098,MINECRAFT,off-topic,11,What a noob
558471966651187203,MINECRAFT,off-topic,3,kek
558472029876256788,MINECRAFT,off-topic,18,Glider Coliders ew
558472135211745285,MINECRAFT,off-topic,23,Glider Coliders die pls
558472287775621146,MINECRAFT,off-topic,40,guys look im insulting glider coliders 😭
558472504478531584,MINECRAFT,off-topic,26,glider coliders are stupid
558472601660424203,MINECRAFT,off-topic,31,<@553431431179796489> cool rank
558472637454483471,MINECRAFT,off-topic,2,:3
558472822679404544,MINECRAFT,off-topic,7,Reeeeee
558472847333261312,MINECRAFT,off-topic,35,<@349300676461068288> ur rank sucks
558473387249238016,MINECRAFT,off-topic,144,<@421171164786851850> i watchedNL5 centimeters per second_a silent voice and kimi no nawaNLfinishedNLtokyo ghoul_ parasyte and nearly done with sao
558473410397863936,MINECRAFT,off-topic,16,am i a weeb now?
558473436763258880,MINECRAFT,off-topic,2,oh
558473468694495243,MINECRAFT,off-topic,4,Reee
558473530312884224,MINECRAFT,off-topic,31,also i love this anime pfp wait
558473727491440660,MINECRAFT,off-topic,4,this
558473793060995072,MINECRAFT,off-topic,2,ny
558473988683071491,MINECRAFT,off-topic,23,i cant send snips reeee
