ID,Server,Channel,Content Length,Content
558755168473317416,Official Fortnite,lfg-battleroyale-pc,59,EU squad 2 people preferably 1+ KD and high win ratio dm me
558757523830865921,Official Fortnite,lfg-battleroyale-pc,61,1 MORE FOR EU SQUADS! dm me preferably 1+ KD n high win ratio
558764847966322698,Official Fortnite,lfg-battleroyale-pc,26,1 more for eu squads dm me
558765048135286784,Official Fortnite,lfg-battleroyale-pc,38,1 more for eu squads dm me for the win
558769318494732329,Official Fortnite,lfg-battleroyale-pc,26,1 more for eu squads dm me
558769577518039061,Official Fortnite,lfg-battleroyale-pc,26,1 more for eu squads dm me
559005649225252865,Official Fortnite,lfg-battleroyale-pc,140,<@388377025200521216> lol if you have all that stuff then you probably are a good player so why should we carry you go get your own wins kid
559009824982171668,Official Fortnite,lfg-battleroyale-pc,20,LF3 classic eu dm me
559029568388857868,Official Fortnite,lfg-battleroyale-pc,35,1 more for eu classic be good dm me
559039432141963274,Official Fortnite,lfg-savetheworld-pve,56,need help with pump up the volume plankerton quest dm me
559040573051371531,Official Fortnite,stw-questions,57,how do you get core llama pinatas? ping me with an answer
559041941619081237,Official Fortnite,stw-questions,36,<@244852295530053632> not the vbucks
559041951601524740,Official Fortnite,stw-questions,9,the llama
559044728952324106,Official Fortnite,stw-questions,2,oh
