ID,Server,Channel,Content Length,Content
558429710640611365,Egg_ Inc,teach-gabd-to-count,5,36773
558430723418357800,Egg_ Inc,contract-talk,113,Why can´t I acess the contracts page?NLIt says that "Due to local laws you cannot acess to the contracts features"
558433048555814923,Egg_ Inc,contract-talk,38,well i'm 16 and my brother could do it
558433880592613406,Egg_ Inc,role-submissions,0,
558435338452729856,Egg_ Inc,contract-talk,42,If i save it on google plays eill it save?
558435392378896385,Egg_ Inc,contract-talk,28,Because last time it dis not
558435418077528084,Egg_ Inc,contract-talk,4,Did*
558436159030820865,Egg_ Inc,contract-talk,30,Ok i am about to re install it
558437463899635772,Egg_ Inc,contract-talk,44,Thank youso much_ i can now do thr contracts
559054075186905088,Egg_ Inc,tips-and-tricks,148,May I send a tip? (This tip is valid for every player except the players that are on nebula wich do not need this and the players in the edible egg)
