ID,Content Length,Content
558868587180458004,14,Quem é br kkkk
558868660240777226,2,Hi
558868699512045579,16,My name is tiago
558868748082085897,7,English
558868770001780777,1,*
558869089267744810,19,You play that game?
558869132863602711,5,Brrrr
558869142338404392,5,Porra
558869179969830922,19,Vcs nao fala vc nao
558869493367963688,19,Minecraft you play?
558869615296380928,3,Kkk
558870466123661323,119,https://youtu.be/SqIn0SmU3k4 help my channel people<:dabonthehaters:554274960517103617> <:PepeHeart:514640977793646594>
558871453290725418,75,Bunch of fucking horn<:threat:553637815917871144> <:REE:553637820229746688>
558871488317489173,36,<:FeelsPingedMan:532225830835978250>
558871525059592202,1,😀
558871526078939138,1,😀
558871528674951178,1,😀
558871529124003841,1,😀
558871529883172866,1,😀
558871532982632479,39,😀 😀 <:BetterThink:514644918380003343> 😀
558871534492450825,1,😀
558871536841392151,37,😀 <:BetterThink:514644918380003343> 😀
558871544546328576,1,😀
558871545020284951,1,😀
558871569791844382,1,😀
558871570555207702,1,😀
558871571876544512,1,😀
558871572782514237,1,😀
558871574833528832,1,😀
558871574644785163,1,😀
