ID,Content Length,Content
558835076553506816,41,<@295981255034404865> hey hey sweet potat
558835443911753758,39,Can't DJ now_ I'm watching a stream u.u
560285574108413974,26,!!whois 532320389200609280
560285732787322900,35,Excuse me I like to steal nice pfps
560285787833499650,12,$p bangarang
560285922675916805,46,Okay_ a more appropriate word would be collect
560285956440195092,19,I don't steal stuff
560286094797570059,25,Steal as in save image as
560286120676687872,1,😅
560286403175645184,19,$p skrillex lick it
560286438508462107,2,$q
560286623007244300,12,Please don't
560286832395288606,39,$p undertale thunder snail arcien remix
560287432642134022,30,iirc Dyno is reserved for mods
560287778236137489,26,!!whois 195644540772810752
560287897836716043,23,ugh I hate parodies >.<
560288117421113355,13,\_ascii ascii
560288144092823552,9,?t medlek
560288206269186058,10,excuse moi
560288285444800524,19,oi murphy my madlad
560288365019398155,2,$q
560288485815091227,3,\\o
