ID,Channel,Content Length,Content
558459633149411358,stw-images,55,Who else is on an all time low for Pure drops of rain??
558460149203730442,stw-images,28,<@!312692940868812803>  lmao
558460683860180992,stw-images,28,<@!302921272482856972> w o w
558466477578125312,stw-images,39,<@!205474438370689024>  w      o      w
558759019494375442,stw-images,22,<@!325698482109284352>
560287545725026316,stw-images,31,<:justright:327528247900372994>
560649271293247489,fortnite-general,3,sup
560649531763458050,fortnite-general,3,ikr
560649600919142402,fortnite-general,31,i was so mad that they did that
560649682615795713,fortnite-general,34,yeah it made the game a bit easier
