ID,Channel,Content Length,Content
560954604683001885,minecraft,3,lol
560954748090712076,minecraft,49,the only thing I like about minecraft is lifeboat
560954919067058176,minecraft,3,wow
560954948842422284,minecraft,19,/I didn't know that
560955007445368832,minecraft,9,hey dylan
560955083387437056,minecraft,25,um do you like minecraft?
560955174835847174,minecraft,3,oof
560955227856044052,minecraft,30,overwhemly overpowered failure
560955285141979137,minecraft,24,what do you mean brother
560955357615095811,minecraft,11,another oof
560955449931857922,minecraft,9,third oof
560955502117388319,minecraft,6,!!!!!!
560955754199121921,minecraft,32,don't eat more than you can chew
560955812508467210,minecraft,3,idk
