ID,Channel,Content Length,Content
558427598787575816,music,93,Now playing in `Music`: `Porter Robinson & Madeon - Shelter (Official Audio)` added by `Squb`
558428511996608523,music,109,Now playing in `Music`: `Gareth Emery feat. Gavrielle - Far From Home (Craig Connelly Remix)` added by `Squb`
558429512380186635,music,90,Now playing in `Music`: `Bastille - Send Them Off! (Official Music Video)` added by `Squb`
558430454110355477,music,83,Now playing in `Music`: `Bastille - Pompeii (Official Music Video)` added by `Squb`
558431430900711424,music,80,Now playing in `Music`: `Snow Patrol - Empress (Official Audio)` added by `Squb`
558457793485733888,music,0,
558457803363057675,music,86,Now playing in `Music`: `System Of A Down - Lonely Day (Video)` added by `NsdTrikstar`
558458615283974154,music,0,
558458624339607562,music,75,Now playing in `Music`: `System Of A Down - Aerials` added by `NsdTrikstar`
558460177762877492,music,0,
558460186566721548,music,73,Now playing in `Music`: `The Doors - Strange Days` added by `NsdTrikstar`
558460225296924673,music,0,
558460294855393283,music,0,
558460304413949952,music,61,Now playing in `Music`: `Strange Days` added by `NsdTrikstar`
558838209857978378,music,0,
558838219878432777,music,70,Now playing in `Music`: `Cat's In The Cradle` added by `Ice͛̅̈́arstorm`
558838640864919572,music,0,
558839116838600724,music,0,
558839160190795787,music,111,Now playing in `Music`: `Pat 'The Bunny' Schneeweis - We don't get tired_ we get even` added by `Ice͛̅̈́arstorm`
558839985793400849,music,0,
558839991674077185,music,70,Now playing in `Music`: `Joywave Destruction` added by `Ice͛̅̈́arstorm`
558840447536070687,music,0,
558840737249230849,music,0,
558840786305810461,music,80,Now playing in `Music`: `STARSET - Monster (Lyrics HD)` added by `Ice͛̅̈́arstorm`
558841655860527105,music,0,
558841854871994380,music,76,Now playing in `Music`: `Massive Attack - Teardrop` added by `Ice͛̅̈́arstorm`
558842595091152906,music,0,
558843091042304061,music,75,Now playing in `Music`: `Blank Banshee - Cerulean` added by `Ice͛̅̈́arstorm`
558843657156034611,music,0,
558843660612141071,music,87,Now playing in `Music`: `Moon Panda - Rabbit (Official Video)` added by `Ice͛̅̈́arstorm`
558844631803101232,music,86,Now playing in `Music`: `Pink Floyd - Time (2011 Remastered)` added by `Ice͛̅̈́arstorm`
558844711356334091,music,0,
558845964031492117,music,0,
558846346258546700,music,70,Now playing in `Music`: `Sia - Electric Bird` added by `Ice͛̅̈́arstorm`
558847485649485845,music,105,Now playing in `Music`: `isle of flightless birds - twenty one pilots // lyrics` added by `Ice͛̅̈́arstorm`
