ID,Server,Channel,Content Length,Content
558754952550547458,masterani.me,lounge,45,Got 3 seats for me on pretty much full flight
558754975472156682,masterani.me,lounge,8,The luck
558754994581667851,masterani.me,lounge,12,Feelsgoodman
558755253839724564,masterani.me,lounge,41,Nah already landed  <@124995973175836672>
558755276229050407,masterani.me,lounge,19,Waiting for layover
558755363269378088,masterani.me,lounge,12,It's not fun
558755388913352714,masterani.me,lounge,19,And it's 2 more hrs
558755535512403978,masterani.me,lounge,29,Well stupid bookings then lul
558755788710215731,masterani.me,lounge,83,I don't know if I see long layover I just book different if it's not more expensive
558755841449394196,masterani.me,lounge,23,Longest I did was 5 hrs
558756183784161281,masterani.me,lounge,49,High chance my next flight is also 3 seats for me
558756354450522132,masterani.me,lounge,24,No idea what that is lol
558757310227546122,masterani.me,lounge,3,Zzz
558757350694191104,masterani.me,lounge,14,I want my bedd
558757517144883210,masterani.me,lounge,28,Nah fk <@121361236599242755>
558757542218694656,masterani.me,lounge,31,He left me alone to go Thailand
558757800268922890,masterani.me,lounge,39,So many Frenchies in this airport reeee
558780279477633024,masterani.me,lounge,51,Well if they improve their own data it will be nice
558780345470681089,masterani.me,lounge,55,Cuz we'll finally be able to download the maps of Japan
558780438462857264,masterani.me,lounge,82,But it will be a lot of work saw on Reddit a lot of buildings and such are missing
558780497120198656,masterani.me,lounge,58,Even bus stations in Shibuya that's major tourist area lol
558780554544414741,masterani.me,lounge,23,I don't know about that
558780615617544192,masterani.me,lounge,2,Ye
558780638463918081,masterani.me,lounge,30,Pretty sure it's the same data
558781035513380885,masterani.me,lounge,55,<@172137337692618752> ye there's still alternatives tho
558781058011889664,masterani.me,lounge,25,Good ones I saw on reddit
558781120427327498,masterani.me,lounge,43,Navitime or some shit_ Apple maps and yahoo
558781309468540938,masterani.me,lounge,45,Apple maps is pretty good from when I used it
558781341249044490,masterani.me,lounge,36,Not sure if it's only iPhone tho lol
558781423834628116,masterani.me,lounge,42,Yahoo shit is always good in Japan I guess
558781652260618270,masterani.me,lounge,42,I'm sure Google will fix the data fast tho
558781755042299924,masterani.me,lounge,54,Considering how major of a tourist attraction Tokyo is
558784497294770239,masterani.me,lounge,34,<@136369720516542466> 5€ per month
558784691193249798,masterani.me,lounge,52,I mean isn't Waze more meant to dodge certain things
558784725708177408,masterani.me,lounge,29,2 different things I feel lol
558785049219039243,masterani.me,lounge,22,I mean yea.. of course
558785075479707694,masterani.me,lounge,20,But Waze is more tho
558785502644404272,masterani.me,lounge,36,Anyways see you plebs in a few hours
558991946970824715,masterani.me,lounge,64,don't forget to check out your weeb merch @ https://setsuya.com/
558995560233959439,masterani.me,lounge,12,masterani.me
558995745496367113,masterani.me,lounge,31,so you know weed makes you dumb
558995751003488257,masterani.me,lounge,27,<:Kappa:230321280337969152>
558996439259152451,masterani.me,lounge,40,talk about anime at https://setsuya.com/
558996470280486922,masterani.me,lounge,49,once we have comments <:Kappa:230321280337969152>
558996670696652811,masterani.me,lounge,31,https://www.patreon.com/setsuya
558996689919410176,masterani.me,lounge,28,no snapchat but there's this
559001543278592021,masterani.me,lounge,21,but its expensive lol
559001600895483904,masterani.me,lounge,19,tokyo is expensive*
559001662623187008,masterani.me,lounge,2,no
559002481703780357,masterani.me,lounge,48,*throws rotten tamato at <@128241214402199564> *
559002495142068242,masterani.me,lounge,3,rip
559002595230744586,masterani.me,lounge,13,tomato tamato
559002613518041103,masterani.me,lounge,12,all the same
559013084774006785,masterani.me,lounge,15,low entry level
559013144131928079,masterani.me,lounge,51,can play without spending any money or a lot oftime
559013185055621130,masterani.me,lounge,24,its not to hard to learn
559015588887003136,masterani.me,lounge,20,iirc i bought it lol
