ID,Channel,Content Length,Content
558458389139554350,fortnite-general,3,Lol
558458475144019978,fortnite-general,22,New chick skin is nice
558458944628981761,fortnite-general,38,<@550052447578751021> sunbird is thicc
558459106453749785,fortnite-general,4,Lmao
558459797540831238,fortnite-general,32,True heart <@491742654149820417>
558460370654593047,fortnite-general,29,Whats yalls favourite outfit?
558460459033034763,fortnite-general,7,Not ops
558460548878958607,fortnite-general,16,Mine is bullseye
558460703246385175,fortnite-general,43,Im trying to act as if im an 8 year old lol
558460911132868648,fortnite-general,19,I got 8 in pleasant
558461066741415966,fortnite-general,26,Lmao <@344580057286705162>
558461248795312148,fortnite-general,6,FaZe t
558807984239804417,fortnite-general,22,Lewis loves peely skin
558808221716971540,fortnite-general,40,Buy save the world <@321338155628232708>
558808491289214977,fortnite-general,29,Tryhards are killing the game
558808575720292364,fortnite-general,22,I wish it was season 2
558808676106764309,fortnite-general,55,Remove the account from your Xbox <@404032390030426112>
