ID,Channel,Content Length,Content
558427861594144788,off-topic,34,CAN FKING GOGOANIME STOP BUFFERING
558427872939737088,off-topic,18,every fking second
558427881341059073,off-topic,42,<:GWmythicalHyperREEEE:373159924487684106>
558431648165789707,off-topic,21,HAWKEKEKEKEKEKEKEKEKK
558433098845388803,off-topic,32,<:GWnonRaphi:370265963922194442>
558435185151180810,off-topic,36,<:GWqlabsNotFine:398950720147030016>
558436218417840128,off-topic,2,=f
558436396424232961,off-topic,14,no cuz u whale
558436402094800897,off-topic,27,<:Kappa:315824076012912642>
558439204015570955,off-topic,34,<:GWovoWhoDesu:390538524035776512>
558441417165504536,off-topic,39,<:GWshinodunYousoHi:389446917312086019>
558443252844462105,off-topic,8,QUINELLA
558443261920935936,off-topic,13,SEND ME LEWDS
558443803216707588,off-topic,2,no
558443807637504001,off-topic,6,u dont
558444765914333184,off-topic,33,<:GWchadThink:366999782348292108>
558444918574678031,off-topic,14,FBI_ he's here
558444949507538955,off-topic,39,<:GWpaboaAobaFreeze:407618739748470796>
558449223842922499,off-topic,10,good anime
558449231828877312,off-topic,2,oh
558454381687603202,off-topic,37,Mods <:GWnonMuugu:370265958280986634>
558455470399029251,off-topic,72,<@!180123518334140418> no u are not <:GWcentrallHUGS:395628394043277313>
558457274365116416,off-topic,17,?????????????????
558457285676892162,off-topic,6,monkaW
558457335597760512,off-topic,67,<@!209153911263723520> pineapple in league is <@230340097147535360>
558457347102605322,off-topic,32,<:GWnonMuugu:370265958280986634>
558462646043672608,off-topic,3,tru
558462655501828110,off-topic,13,i can confirm
558466482846171148,off-topic,1,^
558466504472002570,off-topic,26,for the promised neverland
558466531923591169,off-topic,35,still have yet to watch love is war
558466538953506831,off-topic,37,<:GWshinodunHaaha:389446922881990660>
558466797171507200,off-topic,43,Grimgar <:GWaobaPePeCry:395628671911854081>
558466854448791553,off-topic,28,the op was so fking good too
558466896006086659,off-topic,60,is that Lang typing <:GWsetmyxPeepoWeird:405337568155009024>
558466953291759636,off-topic,63,<@!296802754914025473> <:GWcmeisterPeepoHug:403295305132408832>
558469752641814529,off-topic,5,night
558469758387879936,off-topic,41,<:GWchinaAstolfoSleep:375459870524047361>
558757194015834112,off-topic,3,Pep
558757205071888395,off-topic,18,that's not astolfo
558757214584569872,off-topic,34,<:GWovoWhoDesu:390538524035776512>
558757888156499998,off-topic,40,<:GWmemetownOMEGALUL:380058735214723072>
558761115480358923,off-topic,6,im a 9
558761197164429332,off-topic,4,same
558761594461487104,off-topic,34,<:GWovoWhoDesu:390538524035776512>
558761674891329567,off-topic,6,hi tai
558808503997956134,off-topic,34,<:GWovoWhoDesu:390538524035776512>
558814404309680129,off-topic,3,Gae
558814411985256499,off-topic,4,Bolg
558843586981134346,off-topic,2,hi
558843590563069962,off-topic,4,pone
558843597605044225,off-topic,40,<:GWcmeisterPeepoHug:403295305132408832>
558844934187253765,anime-topic,3,nop
558993664354025495,off-topic,36,<:GWomoRaphiWink:405784197559615510>
559002787388719105,off-topic,1,🍆
559008131791978496,off-topic,9,yui>iroha
559008144252993566,off-topic,20,but iroha still good
559008150586654740,off-topic,38,<:GWahreeVampySmug:369468206735425546>
559010377489317908,off-topic,9,it ok Pel
559010397038968840,off-topic,22,u''re better than them
559010401287798784,off-topic,31,<:AliceSmug:499408164177838091>
559010469806080013,off-topic,60,https://cdn.discordapp.com/emojis/542137545752969216.gif?v=1
