ID,Content Length,Content
558839418576699403,34,does anyone like to play Tetris 99
558839601003888640,21,<@332192661303853056>
558839658025582624,21,oops sorry about that
558840658031542283,34,i don't have a roblox username -_-
558841907547996161,1,u
558842313950887936,43,<@332192661303853056> i have a butter knife
558843028748500995,46,<@332192661303853056> does a screwdriver count
558843136349306900,23,how about a sharp paper
558843315726974997,51,<@332192661303853056> a sharp knife knows what now?
558843486863097866,22,how about a box cutter
558843539052691477,13,exacto knife?
558843846570541056,37,you want the knife to join the devil?
