ID,Channel,Content Length,Content
558428288570097664,serious-personal,3,Oof
558428369008721940,serious-personal,70,<@!226566343456063489> how come you get lotta acceptance letters vodka
558428462252294177,serious-personal,55,Party boy but gets a lot of acceptance points from unis
558428505046777877,serious-personal,43,If u get to Harvard id be hella proud vodka
558428565889220609,serious-personal,17,Or any ivy school
558805497260802098,general,24,Political speech in 1 hr
558805536154583040,general,24,Political speech in 1 hr
558805567481577496,general,24,Political speech in 1 hr
558805719516839977,general,12,Thanks bagel
558805977764200448,debates,90,Theresa May should quit being the PM and let the MPs handle the clusterfuck that is Brexit
558806007791222795,debates,25,Who would replace may tho
558806055753220096,debates,47,If she does resign or get vote of no confidence
558806151219904523,debates,51,<@!168726186313121793> gotta blame Cameron for that
558806221323239444,debates,31,He started all this shenanigans
558806589390192672,debates,84,Prolly coz ur too bourgeois for a hardline communist I think  <@!168726186313121793>
558806669329563648,debates,68,I mean it’s pretty much obvious there’s a communist lobby on debates
558806847650398239,debates,18,Also fuck fascists
558807273133047812,debates,116,It’s funny fascists want jews to return to israel then accuse them of occupying Palestine once they d move to israel
558807327638159360,debates,26,Quash fascism in all costs
558807463017578511,debates,79,<@325739257622691841> I mean there’s lots of communists and fascists in debates
558807555372089354,debates,67,Mussolini and Pinochet are fascistic scum which should burn in Hell
558807742459150336,debates,22,Poland is anti Semitic
558808199197753364,debates,40,Move out of the uk after no deal Brexit?
558808489242132481,debates,87,I think communists will make a resurgence if fascists end up dominating polish politics
558812033798242313,debates,15,Who’s is kokesh
558812077569998880,debates,45,Who that man/woman or whatever that person is
558812325348507660,debates,94,If I’m going for who should dems nominate sanders for president and warren as his running mate
558812602487013387,debates,90,America needs a triparty system : have social democrats (labour)_ liberals and republicans
558812683948916736,debates,111,Split the democrat party . Also option B is splitting republicans to the moderate republicans and the tea party
558812892611215390,debates,106,<@290412686657716224> tbh if i was american I’d abolish electoral college and advocate a multiparty system
558813010106384401,debates,21,Screw the. Berniebros
558813087398887425,debates,101,I believe in social democracy and sanders but the people who go Bernie or bust can go fuck themselves
558813225462923295,debates,51,<@186569274628767745> trump is the worse option tho
558813351459815448,debates,25,And tbh split the parties
558813417927081993,debates,90,<@186569274628767745> oh the dude who shut down the government coz he’s having a hissy fit
558813666355445811,debates,34,Fraser anning should screw himself
558813730893463555,debates,45,Also fuck Pauline Hanson that retarded nutjob
558813862380568611,debates,81,<@!439926511517040680> she’s only good as a vp candidate under the sanders ticket
558814982645743656,debates,32,Idk the scotus is pretty diverse
558815015721762816,debates,13,No Asians tho
558815688194654253,general,29,<@!278812485237080067> hi bud
558815698244206602,general,3,Sup
558815810945286154,general,7,Hi mate
558815824001892360,general,3,Wyd
558816114239602703,general,24,Whatcha doin lately keta
558816186918240256,general,33,Got a political speech in 30 mins
558816215884365850,general,11,Oof grades?
558816254715101185,general,53,<@!278812485237080067> youth council and overall plan
558816305550196741,general,20,True that it is hard
558816355554557997,general,62,Can’t wait to party in taiwan next week <@!278812485237080067>
558816459300667402,general,29,Yeah gonna do hiking shit too
558816749210828810,general,17,Raw spaghetti why
558835740805693450,general,58,Gosh the police chief tryna talk about **drughssss** again
558835832711151636,general,64,Then claims oh we killed 8 people coz drugs and they fought back
560965053075947521,debates,21,I’m a social democrat
560965090317172736,debates,14,Socdems unite!
560965133636075521,debates,37,<@246957288881913857> what’s good bro
560965159821246503,debates,3,Yay
560965280042450990,debates,49,Also Britain can’t decide on a decent Brexit deal
560975439716286486,debates,65,At least philippines has universal healthcare compared to America
560977029877465108,debates,31,<@!226566343456063489> hi vodka
560977064250048527,debates,3,Sup
560977636860362762,debates,67,<@!411880149273935872> my country has a lot of poor starving people
560977684860108805,debates,49,We even make efforts to give universal healthcare
560977965450526721,debates,65,We even have some sustenance programs for the poorest of the poor
560979089888903179,debates,23,How’s the gilets jaunes
560979201919025155,debates,31,<@246957288881913857> the fuck?
560979220948320266,debates,17,The govt is crazy
560984562117902337,debates,40,<@246957288881913857> I absolutely agree
560984579947888652,debates,26,Fuck the electoral college
560984840439201812,debates,41,The euro socdem parties are losing lately
560984866934489089,debates,7,The SPD
560984943120089108,debates,12,PVDA_ PS/SPA
560985048325554177,debates,56,<@246957288881913857> what stances have they compromised
560985180479815690,debates,84,The left here is pretty much a bit too nationalist and radical <@246957288881913857>
560985197114556442,debates,4,Darn
560985229053919282,debates,25,We have minimum wage here
560985273119408128,debates,34,So the left is strongly anti China
560985296058056705,debates,25,Anti American imperialism
560985351041318913,debates,4,Damn
560985490065719326,debates,68,<@!324626144664223744> I mean they’re called the patriotic bloc here
560985538136506378,debates,52,It’s not like too nationalist but mildly nationalist
560985798053331000,debates,85,<@!226566343456063489> the pro China party here is fucked af they’re chinese sellouts
560985923500769290,debates,11,Philippines
560986019327901706,debates,46,I’d love to exile panelo gadon and go to China
560986544760946690,debates,34,You’ll be joining the military tho
560986548955381778,debates,34,You’ll be joining the military tho
561001925412126721,general,7,Hi pink
561001943162421248,general,8,Hi morri
561001987550871565,general,15,Hi Lucas hi Dec
561002003313066055,general,9,How’s all
561002016399425546,general,10,Hi Brandon
561002058594123796,general,18,I’m workin hard rn
561002096657170467,general,31,Then weekend is packing up week
561002115288530979,general,21,What’s good with yall
561002172603695115,general,34,<@128863550620958721> why late dec
561002237405560843,general,26,Lol hardly working somehow
