ID,Content Length,Content
558769100797771786,6,canny?
558769318880477194,32,in plank malachite is a bit rare
558769374044094484,26,i suggest you to get canny
558769393388093450,25,try <#322852071051231242>
558769929600630785,40,oh btw what pl r u <@400421935986769920>
558770754422964225,26,oh youre not in canny yet?
558772659890946106,2,hm
558772685816070167,15,im playin br rn
558772735237685259,28,i think i can after this one
558772954427686925,75,also did you know that you can get the mats _ then leave and you keep them?
558778685327671345,35,<@400421935986769920>  same as here
