ID,Server,Channel,Content Length,Content
560962896561963029,MINECRAFT,minecraft,5,Hello
560963683228844033,MINECRAFT,minecraft,5,neato
560963714795307031,MINECRAFT,minecraft,4,kden
560963807242092544,MINECRAFT,bot-commands,5,!rank
560963887755689996,MINECRAFT,minecraft,1,^
560964771579428865,MINECRAFT,minecraft,17,how do I rank up?
560964843104894979,MINECRAFT,minecraft,43,I'd like to talk in vc eventually you know?
560964903968440350,MINECRAFT,minecraft,11,neat thanks
560975870957846528,MINECRAFT,bot-commands,5,!rank
560975973693128705,MINECRAFT,minecraft,28,Ill get there eventually T~T
560976077141442561,MINECRAFT,minecraft,36,I remember when 1.6 was a big update
560976103871741952,MINECRAFT,minecraft,10,good times
560976208964222976,MINECRAFT,minecraft,57,and now theyre coming out with *bears* and *TOILETS* idek
560976245412855808,MINECRAFT,minecraft,23,its just so complicated
560976307102679084,MINECRAFT,minecraft,60,I miss the good ol days when I could use a sword as a shield
560976372206534665,MINECRAFT,minecraft,35,and right clicking didnt strip wood
560976520219197441,MINECRAFT,minecraft,101,I use an axe as my main weapon bc it does more damage than a sword and I don't like the swiping thing
560976936172650497,MINECRAFT,minecraft,79,I just want to be able to whack shiz without having to look at some bar fill up
560976984709005315,MINECRAFT,minecraft,18,awesome_ moving on
