ID,Channel,Content Length,Content
558761701697126474,general,3,Huh
558761960011989005,general,87,<@501860828862218241> how does my voice sound bc apparently it sounds like something...
558762365181755412,general,62,Pitch is writing a long ass paragraph to me and I’m curious af
558762442830774281,general,27,<@285835383374348289> stuff
558762481833607198,general,7,Oof lol
558762620593635328,general,7,Me join
558762662721355788,general,16,Transfer me mods
558762795726798882,general,17,Transfer me beech
558762851599253514,general,18,Me want staff chat
558762867499859969,general,2,In
558768602849869825,general,3,Oof
558768656926900225,general,4,Flem
558769508165222403,general,3,Huh
