ID,Channel,Content Length,Content
559006481232560129,off-topic,3,oof
559006550329655296,off-topic,27,helu <@!254887002686750720>
559006706819006466,off-topic,3,lol
559006807306141707,off-topic,2,uh
559006841988841473,off-topic,36,minecraft has no pistols and weapons
559006872091492352,off-topic,11,only swords
559007318193471508,off-topic,32,wait what <@!254887002686750720>
559007467577540608,off-topic,36,0adam is the creator of M-A-D2 right
559007529632268319,off-topic,23,take off your earohones
559007567372877840,off-topic,13,its ear rap e
559007578005438476,off-topic,3,huh
559007603867516938,off-topic,15,its high volume
559007653678940182,off-topic,1,e
559007726227685418,off-topic,3,yes
559007759195045898,off-topic,0,
559007826576539671,off-topic,0,
559007987201736706,off-topic,2,ok
559008028427419668,off-topic,11,drakes plan
559008056294375436,off-topic,13,and gods plan
559008061264494632,off-topic,2,ew
559008082424758294,off-topic,3,yes
559008116013006869,off-topic,0,
559008170069196822,off-topic,0,
559008241447731212,off-topic,5,chill
559008307327533056,off-topic,2,ok
559008802700132383,off-topic,2,ok
559008875987075095,off-topic,1,^
559008914763415562,off-topic,6,anna'd
559008976537255936,off-topic,4,fail
559009081638256651,off-topic,14,HolidayPresent
559009174051356703,off-topic,2,ok
559009322143580173,off-topic,3,LOL
559009408504561714,off-topic,35,**jumps in to the minecraft world**
559009446735642624,off-topic,4,done
559009515132026880,off-topic,30,HUUUUU is what they are saying
559009545268232227,off-topic,30,when they die_ PUN PUN PTIAOOO
559009591963418624,off-topic,13,10000 of the-
559009600754548737,off-topic,3,bye
559009810230542347,off-topic,0,
559009888848576512,off-topic,2,XD
559010146156544000,off-topic,9,original:
559010290038210574,off-topic,2,no
559010357046280222,off-topic,3,lol
559010427695136786,off-topic,4,yeah
559010668360105987,off-topic,51,me: helloNLperson: byeNLme: waitNLperson: yo tengoNLme:
559010748089630721,off-topic,11,I CANT READ
559010853802737665,off-topic,23,close to 3pm here i see
559011111622410240,off-topic,3,lol
559011142937083914,off-topic,11,what was it
559011308494913550,off-topic,16,is it on android
559011342149877790,off-topic,2,ok
559011390489362439,off-topic,3,LOL
559011578138329089,off-topic,11,xiaomi good
559011631154200588,off-topic,9,very fast
559011653606309910,off-topic,11,and amazing
559011708677521418,off-topic,4,yeah
559011737689653249,off-topic,3,v:?
559011769478152192,off-topic,3,UwU
559011840060031027,off-topic,7,´´hey´´
559011878991429643,off-topic,3,lol
559012091588116491,off-topic,5,`OwO`
559012149746335774,off-topic,11,`~~hello~~`
559012206440742933,off-topic,14,is it ~~test~~
559012217660506133,off-topic,8,oh it is
559012323118022707,off-topic,9,on a wall
559012344748048454,off-topic,11,i cant type
559012363374821386,off-topic,23,`hello` `hello` `hello`
559012492148342784,off-topic,59,oof <@357548839063912448> i thought that was my chat filter
559012689272111143,off-topic,6,OXYGEN
559012790493511690,off-topic,29,g- WAIT <@541753787207909408>
559012867865706524,off-topic,14,i am hypesider
559012997280956416,off-topic,3,oof
559013067560845323,off-topic,6,**DJ**
559013104063610893,off-topic,3,lol
559013187375202324,off-topic,9,?t Krixso
559032648605892629,off-topic,34,how it feels like to chew five gum
559032848292773902,off-topic,18,this is not online
559033477350293505,off-topic,4,yeah
559033506093858866,off-topic,8,lmaooooo
559034304873889803,off-topic,170,Hit or miss <:steve:302438795385634847> i guess they never miss huh? <:thinksteve:425381858121875459> u gotta boyfriend <:dab:425370892181176331> i bet he doesent kiss ya
559034311710474290,off-topic,4,easy
559034340382736445,off-topic,14,playing M-A-D2
559034490341556254,off-topic,3,...
559034559061164052,off-topic,4,fuck
559034577096540160,off-topic,7,ok good
559034599284539392,off-topic,10,dont do it
559034612853112854,off-topic,20,i will ping the mods
559034748719202324,off-topic,23,your talking to someone
559034767731982347,off-topic,6,oknice
559034794235658280,off-topic,3,...
559034866201526282,off-topic,22,they all will say no 😂
559034944597524519,off-topic,59,time to play osu <:GWqlabsFeelsComfyMan:398950641189388288>
559035070996938767,off-topic,26,FINALLY NOT A TREE PUNCHER
559035144590065694,off-topic,7,im cool
559035261426597899,off-topic,2,ok
559035318918184980,off-topic,17,im now still cool
559035476569358346,off-topic,38,god life just became hard for 2 people
559090386136596480,off-topic,5,hello
559090515329417248,off-topic,6,ok bye
559096719430909982,off-topic,2,no
559096744701329422,off-topic,12,look closely
559096926751031317,off-topic,13,scroll up now
559096936737669150,off-topic,16,no one got money
559097083865333761,off-topic,7,thanmom
559097379387736074,off-topic,10,wrong ping
559097581699989517,off-topic,9,dead meme
559098027931992084,off-topic,3,lol
559098605680590898,off-topic,2,uh
559098619664269329,off-topic,2,ok
