ID,Server,Channel,Content Length,Content
558824755944357908,Official Fortnite,lfg-creative,37,host zone wars dm if you want to join
558849775915499534,Official Fortnite,lfg-battleroyale-console,43,lfg NAE  ZONE WARS DM ME IF YU WANT TO JOIN
558850011488714752,Official Fortnite,lfg-battleroyale-pc,43,lfg NAE  ZONE WARS DM ME IF YU WANT TO JOIN
558850468672176149,Official Fortnite,lfg-battleroyale-pc,43,lfg NAE  ZONE WARS DM ME IF YU WANT TO JOIN
558850495050153984,Official Fortnite,lfg-battleroyale-console,43,lfg NAE  ZONE WARS DM ME IF YU WANT TO JOIN
558851594087563266,Official Fortnite,lfg-battleroyale-console,43,lfg NAE  ZONE WARS DM ME IF YU WANT TO JOIN
558851624844656661,Official Fortnite,lfg-battleroyale-pc,43,lfg NAE  ZONE WARS DM ME IF YU WANT TO JOIN
558853082906099722,Official Fortnite,lfg-battleroyale-console,43,lfg NAE  ZONE WARS DM ME IF YU WANT TO JOIN
558853110316138517,Official Fortnite,lfg-battleroyale-pc,43,lfg NAE  ZONE WARS DM ME IF YU WANT TO JOIN
558855348950269982,Official Fortnite,lfg-battleroyale-pc,43,lfg NAE  ZONE WARS DM ME IF YU WANT TO JOIN
558855360912293888,Official Fortnite,lfg-battleroyale-console,43,lfg NAE  ZONE WARS DM ME IF YU WANT TO JOIN
558855649942044702,Official Fortnite,lfg-battleroyale-console,43,lfg NAE  ZONE WARS DM ME IF YU WANT TO JOIN
558855665594925067,Official Fortnite,lfg-battleroyale-pc,43,lfg NAE  ZONE WARS DM ME IF YU WANT TO JOIN
