ID,Channel,Content Length,Content
558471228176728065,lfg-battleroyale-pc,42,LFDuo nae have at least 1.5kd I have 3.5kd
558471636689354779,lfg-battleroyale-pc,42,LFDuo nae have at least 1.5kd I have 3.5kd
558781351285751809,lfg-battleroyale-pc,43,LFDuo nae have at least 1.5kd I have 3.5kd.
558784033509736448,lfg-battleroyale-pc,43,LFDuo nae have at least 1.5kd I have 3.5kd.
558784379816509461,lfg-battleroyale-pc,43,LFDuo nae have at least 1.5kd I have 3.5kd.
558785539596091413,lfg-battleroyale-pc,43,LFDuo nae have at least 1.5kd I have 3.5kd.
558785998226718720,lfg-battleroyale-pc,43,LFDuo nae have at least 1.5kd I have 3.5kd.
558786710646030346,lfg-battleroyale-pc,43,LFDuo nae have at least 1.5kd I have 3.5kd.
558787260460433416,lfg-battleroyale-pc,43,LFDuo nae have at least 1.5kd I have 3.5kd.
558788302124220416,lfg-battleroyale-pc,43,LFDuo nae have at least 1.5kd I have 3.5kd.
558789063092469760,lfg-battleroyale-pc,43,LFDuo nae have at least 1.5kd I have 3.5kd.
558789479033208852,lfg-battleroyale-pc,43,LFDuo nae have at least 1.5kd I have 3.5kd.
558789809079058444,lfg-battleroyale-pc,43,LFDuo nae have at least 1.5kd I have 3.5kd.
559005859246505987,lfg-battleroyale-pc,57,LF 1v1 warm up into duos_ have at least 1.5kd I have 3.5.
559006497963769868,lfg-battleroyale-pc,57,LF 1v1 warm up into duos_ have at least 1.5kd I have 3.5.
559006954031415306,lfg-battleroyale-pc,57,LF 1v1 warm up into duos_ have at least 1.5kd I have 3.5.
559008126469275649,lfg-battleroyale-pc,57,LF 1v1 warm up into duos_ have at least 1.5kd I have 3.5.
