ID,Channel,Content Length,Content
558995039020253186,commands,8,pls rich
558995057542168576,commands,16,pls withdraw 500
558995115021041664,commands,29,pls steal AzaryaYulian13#0082
558995168582172699,commands,21,6 times fail in a row
558995234810363904,commands,17,pls withdraw 1500
558995261339336719,commands,35,pls share <@369988812161548289> 500
558995287452942347,commands,17,pls bet all NOOOO
558995325512187925,commands,17,pls withdraw 1000
558995346605342740,commands,21,pls bet all NOOOO FFS
558995377928536067,commands,8,welp rip
