ID,Server,Channel,Content Length,Content
559090617444204585,Official Fortnite,save-the-world,24,Whats the question even?
559090729222144003,Official Fortnite,save-the-world,27,Oof_ thats a broad question
559090771899449345,Official Fortnite,save-the-world,28,Need to narrow it down a bit
559090814710710282,Official Fortnite,save-the-world,24,Pain train over swan imo
559094180484481034,Official Fortnite,save-the-world,91,With bas kyle and my banner when the boss shows up hes gotta get through a wall with 20k hp
559096909751517194,Official Fortnite,save-the-world,108,Hell yeah_ i save up my expedition mats then trade it for t5 shit. Ita like free t5 mats delivered to me lol
559097056854278155,Official Fortnite,save-the-world,45,<@551958992084140057> wouldnt be soon i doubt
559097427798261781,Official Fortnite,save-the-world,99,Sounds like youre giving them a carry for materials unless i missed something <@203176871553269761>
559097508178165762,Official Fortnite,save-the-world,23,Thats giving your time*
559097637677301770,Official Fortnite,save-the-world,32,<@188718399180898305> thats true
