ID,Server,Channel,Content Length,Content
558430515611566110,Comedy Heaven,general,27,<:kanye:538233580942524419>
558430867215745044,Comedy Heaven,general,18,my cock is AVERAGE
558430879970623488,Comedy Heaven,general,16,So i win in life
558430888451375129,Comedy Heaven,general,1,😎
558430911025381378,Comedy Heaven,general,9,thank you
558430950355238922,Comedy Heaven,general,25,feel so proud of my genes
558431072363479040,Comedy Heaven,general,17,Barry McCockinner
558431109864620064,Comedy Heaven,general,21,you’ve been #waltered
558431383006216193,Comedy Heaven,general,9,ben dover
558431509879717890,Comedy Heaven,general,9,algaybrah
558431536593240066,Comedy Heaven,general,15,what’s the time
558431540728692736,Comedy Heaven,general,9,math time
558431621800263681,Comedy Heaven,general,13,kick a ginger
558431728004366398,Comedy Heaven,general,22,what you been drinking
558431767338418206,Comedy Heaven,general,32,unpopular opinion : beer is FOUL
558431782668861451,Comedy Heaven,general,16,Disgusting drink
558431957835579394,Comedy Heaven,general,29,feed the birds tuppence a bag
558431982233583627,Comedy Heaven,general,18,beer is DISGUSTING
558432028136177665,Comedy Heaven,general,24,I’m a whiskey man myself
558432079319269396,Comedy Heaven,general,13,it weren’t me
558432121077760013,Comedy Heaven,general,29,well it was focken one of yas
558432134608584729,Comedy Heaven,general,10,DISGUSTENG
558432266506731531,Comedy Heaven,general,35,tesco own brand £2 vodka man myself
558432421062901761,Comedy Heaven,general,59,white lightning in a brown paper bag in the park man myself
558432586721132544,Comedy Heaven,general,38,i haven’t had weed in a year sad times
558432614034178063,Comedy Heaven,general,51,gonna have some this easter with the boys so yeeeee
558432627317538846,Comedy Heaven,general,6,#nitty
558432745563357215,Comedy Heaven,general,35,i remember when i first bought weed
558432803633496064,Comedy Heaven,general,61,me and my friend walked into a shop and just bought an edible
558432843030855721,Comedy Heaven,general,32,a shop in london that sells weed
558432871413448715,Comedy Heaven,general,31,idk how it didn’t get shut down
558432897833631765,Comedy Heaven,general,33,it was in a tunnel in a market so
558432909263110145,Comedy Heaven,general,12,very sketchy
558432928405782534,Comedy Heaven,general,19,south harrow market
558432948660207617,Comedy Heaven,general,14,sketchy sketch
558433064242380812,Comedy Heaven,general,9,obviously
558433085444849684,Comedy Heaven,general,11,what a mong
558433232534634496,Comedy Heaven,general,6,hahaha
558433265342611477,Comedy Heaven,general,21,do illegal shit_ SURE
558433268794654722,Comedy Heaven,general,4,Just
558433284506517504,Comedy Heaven,general,24,don’t put it on snapchat
558433291435507756,Comedy Heaven,general,4,mong
558433370212663296,Comedy Heaven,general,37,that’s the most english sentence ever
558433438806310913,Comedy Heaven,general,43,can of special brew and a packet of quavers
558433547124473856,Comedy Heaven,general,16,quavers are foul
558433552786784256,Comedy Heaven,general,9,i’m sorry
558433568095862786,Comedy Heaven,general,24,most crisps are actually
558433586693406721,Comedy Heaven,general,19,i’m not a crisp man
558433624949653539,Comedy Heaven,general,4,😡😡😡😡
558433710190624798,Comedy Heaven,general,46,bought a 5 pack of crepe eggs today for 2 quid
