ID,Content Length,Content
558427534044168203,28,https://youtu.be/9ko5jkkhTXk
558430833208197138,0,
558430938288095248,58,<@452477990513672203> yep and there is no escape this time
558431104491585537,0,
558431200851525660,36,Can this be the new "hmmmmmmm" meme?
558431280673587240,17,_hmm.mmmmmmmmmmm_
558431307949015041,2,Oh
558431331974119424,9,_hmmmmmm_
558431585528053769,42,Me running for random things for no reason
560602675633455126,31,Yo how is everyone doing today?
560602800732766219,4,Nicr
560602909709041695,65,Just livestreaming right now and waiting for competitive crucible
