ID,Channel,Content Length,Content
558826287154855956,pewdiepie-vs-tseries,2,hi
558826372081123400,pewdiepie-vs-tseries,19,how u change color?
558826430226497557,pewdiepie-vs-tseries,10,color blue
558826487927799818,pewdiepie-vs-tseries,4,halp
558826504348499969,pewdiepie-vs-tseries,5,!help
558864248323833867,commands,3,pls
558864259304521743,commands,8,pls help
558864279378591744,commands,9,pls memey
558864321686536192,commands,14,pls help games
558864387247702036,commands,17,pls help currency
558864429866024990,commands,7,pls beg
558864455245627392,commands,7,pls buy
558864483540402187,commands,10,pls serach
558864496962043916,commands,10,pls search
558864537764364288,commands,8,pls rich
558864595356352514,commands,13,pls inventory
558864608752959488,commands,8,pls shop
558864632127815690,commands,8,pls bank
558864782472511499,commands,9,pls bet 1
558864804819894298,commands,9,pls bet 1
