ID,Channel,Content Length,Content
558427659693195265,general,3,Hot
558459579562852367,general,75,Black Panther is good_ but not as good as most people make it out to be imo
558459631597256704,general,4,epic
558459983239446540,general,23,i thought coco was 2017
558461286795706371,general,19,Shrek released 2001
558461374582489090,general,9,also yeah
558461397290450945,general,40,Captain Marvel looks incredibly mediocre
558461443486253065,general,53,I think I might just skip that and wait till Avengers
558461617579229197,general,1,?
558461635488907284,general,4,what
558461751553949716,general,6,me too
558461843451150347,general,30,I never watched either Ant Man
558461899935580170,general,53,as someone who has seen avengers assemble the tv show
558461928758968330,general,38,I don't think I'll ever watch them lol
558461978536837133,general,12,origin story
558462004105576468,general,44,or story of heroes learning to work together
558462057612181534,general,33,spiderman 3 shatters expectations
558462075433779200,general,46,as it not only gives you the rise of spiderman
558462082706571275,general,17,but also the fall
558462091460214784,general,13,like garfield
558462112058572802,general,34,spiderman 3 is a film about layers
558462152441200655,general,12,ill stop now
558462417215029263,general,30,this man has gone clearly nuts
558462609347837982,general,66,You're safe now_ but in Spiderman 4 i will shoot you with a pistol
558462654943985667,general,34,some people like to talk like that
558462719653707793,general,97,Drop you like to speak in complete thoughts and punctuations_ maybe other people feel differently
558462750930501632,general,28,especially over social media
558462805385412611,general,16,Yeah that's fair
558462833504026624,general,40,I mean I think that there's restrictions
558462899191021598,general,11,Spiderman 3
558462948532551683,general,4,link
558463153881743370,general,81,Friendly reminder that I was boxed for two days for jokingly calling Drop a nonce
558463230159093765,general,12,Is it though
558463258755858443,general,12,Is it really
558463270428868618,general,2,Ok
558463286497247262,general,34,But other people think differently
558463304532623360,general,4,shut
558463374091091968,general,70,I don't think you should really mute someone over something subjective
558463396861706260,general,45,If that's how the way they talk then so be it
558463422619058216,general,36,If it's legitimate spam hey go ahead
558463458773827595,general,45,Like saying drop three times in a row is spam
558463491103653899,general,60,but what you just did as an example of how some people speak
558463505989369876,general,35,I still don't think that's spam lol
558463527094976523,general,14,Not really lol
558463822210531350,general,7,ok fine
558463861527674890,general,46,7 uninterrupted messages in less than a minute
558463897271664640,general,11,that's spam
558463921720262685,general,33,i still think there's a fine line
558464168483880970,general,5,Yikes
558464237177929728,general,22,Well that's subjective
558464249848922122,general,3,lol
558464291527720971,general,2,ok
558464296737308702,general,3,why
558464329368731649,general,7,my baby
558464551876558878,general,54,I actually think a lot of people type the way Kim does
558464577319469076,general,37,maybe not as extreme but to an extent
558466648714248193,suggestions,251,"too many mods" how about you try being an admin and come across tons of weird shit that gets uploaded during hours in which most mods aren't online lmao. that's the purpose of certain mods_ it's because they're awake and active during those odd hours
558466777668124674,suggestions,32,anyways yeah I have a suggestion
558467368204894209,suggestions,96,Restrict pictures in general to relevant topics otherwise we just get random shit here and there
558467429437538308,suggestions,50,that's why <#477825385325920276> exists doesn't it
558467543329931274,suggestions,6,I mean
558467594668081182,suggestions,44,I don't want to see apes pop up on my screen
558467696258449429,suggestions,33,Were you here like 10 minutes ago
558467701308260364,suggestions,11,if not shut
558467966233083906,suggestions,19,All I'm saying drop
558468013406552064,suggestions,75,I don't want to see apes in the middle of a serious conversation in general
558468088614354956,suggestions,14,You were there
558468094935433238,suggestions,4,like
558468101298061326,suggestions,14,10 minutes ago
558468135922171935,suggestions,2,Oh
558468160794394644,suggestions,46,I thought that was you or raki that deleted it
558468209582276608,suggestions,23,Sorry for assuming lmao
558468236107055107,suggestions,2,no
558468396363153418,suggestions,24,I see no problem with it
558468528290791424,suggestions,96,<@!220157259781636097> I mean yeah ever since rejoining I enjoy the server much more than before
558468578568044554,suggestions,46,Super glad you guys finally put a music bot in
558469517995540510,general,70,the rare occurrence in which drop doesn't fully use proper punctuation
558469597062234113,general,4,Wait
558469606377914399,general,16,Genuine question
558469662182998057,general,11,Makes sense
558469752503402501,general,78,but when you want people to take you seriously you just use proper punctuation
558469773793558558,general,27,+ the fact of the OCD stuff
558469803656871946,general,24,Ok wait genuine question
558469977204719647,general,199,When lgbtq people put stuff like "they/them" are they assuming people are stupid? Like why do you need to specify both they AND them? Why not just use they? Do you think we don't know how words work?
558470034230345738,general,17,Genuinely curious
558470068799799316,general,48,I'm not going to call you a she but then say him
558470206922555423,general,18,I don't understand
558470277831327754,general,8,It's not
558470287663038474,general,18,I asked a question
558470324430176278,general,52,like i was genuinely curious as to why people did it
558470414116978699,general,20,wait context to what
558470556647686146,general,5,Ohhhh
558470567867580417,general,20,See that makes sense
558470627967893519,general,92,damien i've never talked to you nor do i have any idea who tf you are but I like you already
558470691545022467,general,9,thank you
558470706422087681,general,38,raki and damien are the only good mods
558470724503863316,general,24,everyone else is big gay
558470806230007809,general,44,no wombat is cool too cause he's playing tf2
558470847611011073,general,2,no
