ID,Content Length,Content
558461237277622273,35,How dare you get rid of my reaction
558463793177559062,2,Ok
558464229263540225,1,🦀
558469799865221131,3,Ban
558469820681551903,9,Wait heck
558469859701293068,21,I scrolled up too far
558470009362448407,46,My ears are dying <:SadCat:519226311273611289>
558470512284794900,0,
558470575815786516,32,<:HyperChamp:514172704073711616>
558470661106958336,16,But it’s *funny*
558470725766348815,0,
558470732925894659,4,This
558470878153801728,15,IM SERVER MUTED
558470945229242398,44,<@506516668722184202> sorry I’m server muted
558471064582357006,4,WHAT
558471075319513110,7,But why
558471094869426196,28,<:SadCat:519226311273611289>
558471191774494720,4,Lmao
558471201450885141,2,Ok
558471332321296386,29,Probably a little bit of both
558471704821628931,23,Ok but I’m Peurto Rican
558471719027867648,28,<:SadCat:519226311273611289>
558471890847399966,31,<@!383681993508126722> go to vc
558471899181744148,9,Seriously
558471918563360770,18,Do you hecking job
558471935520931850,5,Your*
558472113615536129,18,ARES YOU DUMB SHIT
558472136897855521,4,Ares
558472160600129547,12,Go to the vc
558472182515236877,17,I’m being deadass
558472196947968002,12,Little fetus
558472347758231564,20,Wow I’m deafened now
558472367840690186,18,This is mod aboose
558472452309647391,32,Oh so *now* I’m not server muted
558472502402220054,3,Wow
558472512128679936,3,;-;
558806234745012244,2,No
558806290701352970,8,Oh hello
558806393138839574,38,<@!518924074198761482> what did you do
558806431441092628,1,🤔
558806487661805579,34,Did you toucc someone’s peen again
558806579630178306,2,Oh
558806590380310539,12,Who’s was it
558806892185649171,3,Yes
558808559337603090,43,<@!518924074198761482> you have a mommy now
558808619572002817,13,Another mommy
558808692695498765,21,<@554762623267373086>
558808824862212096,48,<@554762623267373086> say hello to your daughter
558808844642549790,3,Yes
558809065132654612,39,<@!518924074198761482> I’m your dad now
558809086708285444,21,I have switched roles
558809128580022292,9,Wait what
558809203343622169,3,Yea
558809210108903434,2,Ik
558809260260196353,39,<@554762623267373086> it’s our daughter
558809320519630848,41,<@!518924074198761482>no she’s not hoodie
558809358771683359,36,We had hoodie and her in the same vc
558809395367247885,2,Oh
558811495547273217,9,I’m on it
558813773633290251,4,Thot
558814065930141732,24,<@339845222181896193> vc
558815676152676362,22,<@!518924074198761482>
558815719991672852,9,Which one
558849021385506827,8,Omg guys
558849043837747201,11,That’s epic
558849262969159690,31,<@!325122999789551616> underage
558849296615735317,13,There’s a kid
558849309303635968,5,In vc
558849383840612352,7,Lmaoooo
558849401779650560,3,Ikr
558849883654848513,21,<@554762623267373086>
558863078473596929,27,<@!176921245940580354> what
558869759282774016,9,m1ner3OOO
558870020655153224,5,Cute*
558871147702255636,4,ARES
559003949383024640,8,Your mom
