ID,Server,Channel,Content Length,Content
558794515096403974,FlareTV - PewDiePie vs T-Series,memes,8,Pls meme
558852599118561286,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,26,Shawn did not fork his cat
558853265832542230,FlareTV - PewDiePie vs T-Series,general,11,GAO But its
558853279405309952,FlareTV - PewDiePie vs T-Series,general,4,When
558853285071683584,FlareTV - PewDiePie vs T-Series,general,8,Jeniffer
558853293405896704,FlareTV - PewDiePie vs T-Series,general,3,UWU
558853299760267264,FlareTV - PewDiePie vs T-Series,general,3,Nah
558853308241018880,FlareTV - PewDiePie vs T-Series,general,3,Hue
559003164347727873,FlareTV - PewDiePie vs T-Series,commands,9,384p28ofp
559003237424955392,FlareTV - PewDiePie vs T-Series,commands,7,pls beg
559003405603831839,FlareTV - PewDiePie vs T-Series,commands,10,pls search
559003427422732316,FlareTV - PewDiePie vs T-Series,commands,15,pls deposit all
559003444615053312,FlareTV - PewDiePie vs T-Series,commands,7,pls bal
559003569752244227,FlareTV - PewDiePie vs T-Series,commands,11,pls store 4
559003605223342081,FlareTV - PewDiePie vs T-Series,commands,11,pls store 3
559003687905918977,FlareTV - PewDiePie vs T-Series,commands,7,pls beg
559003736274501672,FlareTV - PewDiePie vs T-Series,commands,10,pls search
559003769564823564,FlareTV - PewDiePie vs T-Series,commands,15,pls deposit all
559003841811447809,FlareTV - PewDiePie vs T-Series,commands,25,wut <@542718101578448916>
559003867702886401,FlareTV - PewDiePie vs T-Series,commands,1,k
559003922715377665,FlareTV - PewDiePie vs T-Series,commands,1,k
559003934254039044,FlareTV - PewDiePie vs T-Series,commands,7,pls bal
559003970882764811,FlareTV - PewDiePie vs T-Series,commands,7,pls beg
559003988817739776,FlareTV - PewDiePie vs T-Series,commands,10,pls search
559004029737500672,FlareTV - PewDiePie vs T-Series,commands,15,pls deposit all
