ID,Content Length,Content
559002606630993920,30,<@!545859864287641611> because
559002717192978444,16,Need hug_ child?
559002787896229910,5,*hug*
559002847262539795,25,Okay this is gettin weird
559002888400011274,23,Im not into role play 😂
559002922852155402,40,But I’ll give y’a a hug. That’s about it
559002956666503169,6,Mother
559003069938008095,2,16
559003156940324885,6,Dammit
559003222006562834,12,Hello mother
559003267183542290,17,May I commit die?
559003407780806657,23,I would talk if I could
559003432061632522,21,I physically can’t rn
