ID,Server,Channel,Content Length,Content
560623389434314755,r/teenagers,general,28,too many gangs here nowadays
560623504580673546,r/teenagers,general,35,too many dead people in my basement
560623636986462238,r/teenagers,general,14,join Cock gang
560623694578319361,r/teenagers,general,9,cock gang
560623706335084554,r/teenagers,general,9,best gang
560623732889223178,r/teenagers,general,4,same
560623768620367884,r/teenagers,general,25,do u wanna join cock gang
560623837612474378,r/teenagers,general,21,🐔 cock gang goat gang
560623875688366080,r/teenagers,general,26,there's no other good gang
560623957355528232,r/teenagers,general,53,I'm trying to convince this youngin to join cock gang
560623965962502154,r/teenagers,general,3,yea
560624029044703254,r/teenagers,general,1,🐔
560624077057032192,r/teenagers,general,20,biggest discord gang
560624187442724869,r/teenagers,general,25,BETTER NOT BE A DEAD COCK
560624789182742529,r/teenagers,general,3,Jah
560624922590969856,r/teenagers,general,72,bruh kids keep posting that and filling up my feed with this bhudda shit
560625176576786452,r/teenagers,general,1,🗿
560625341908123668,r/teenagers,general,22,chain mail has smol pp
560625375646973952,r/teenagers,general,6,On Jah
560965191177732134,r/teenagers,general,44,<@!169964469252915200> fucking copied my pfp
560965196357828621,r/teenagers,general,5,REEEE
560965294781366272,r/teenagers,general,41,ur a REEEEE poster <@!169964469252915200>
