ID,Content Length,Content
558993313752154112,32,<@!400421935986769920> lets play
558993379703390208,14,Adhesivestager
558993450113171467,15,Wait whats nae?
558993659517992986,8,Yea i am
558993714777686027,2,Ok
558993763444457472,28,U wanna get in a voice chat?
558994035164053516,23,There isnt in game chat
558994083582967828,14,It doesnt work
558994215808270347,3,Yea
558994265619955734,8,Are you?
558994490501890059,59,I eccepted the friend request it doesnt show u as my friend
558994540707577867,20,Send me ur epic name
558994673897570314,2,Ok
