ID,Content Length,Content
558815695865905152,98,Are we allowed to discuss leaks and stuff here or does that fall under illegal software and hacks?
558816123072806933,3,Hey
558816298860281867,14,See ya Scrimpy
558816480146489345,129,<@182166841689374720> Are we allowed to discuss leaks/share and stuff here or does that fall under no illegal software and hacks?
558816610454863872,84,<@344750529471184897> If it does it'll be in an LTM_ creative_ or with a major nerf.
558817059291529216,41,I highly doubt that <@319467603724730370>
558817154435383346,24,Hi <@321789440374603779>
558858142558191626,17,Not at the moment
558858522574585893,124,<@371758625263321088> You currently have to apply for one but it seems like you'll be able to generate your own by season 9.
558858699393990667,40,Anybody got any theories on the chopper?
