ID,Channel,Content Length,Content
559032326525419530,save-the-world,109,My luck_ i enter in the 100PL 4x Mission to help others and finish my daily_ found 0 Park Seesaws ... cmon xD
559045593398378507,stw-trade,104,[H] EverythingNL[W] Sturdy Mechanical Parts and 106 Energy Crit Typewriter with Epic to Gold PerksNL[P] PC
559097916975874077,battle-royale,54,Best landing ever_ land and knock yuourself_ gg man gg
559098115244949515,battle-royale,53,man_ they don't wanna no lifer like others_ thats all
559107044720902145,battle-royale,78,Vault_ Turrets_ Dual Pistols_ P90_ Sileced SMG and bring back the tactical SMG
559107177567092746,battle-royale,39,<@421466696692269068> go ahead_ tell me
559107335239499787,battle-royale,57,tactical SMG is less broken from all SMGs in game so_ no.
559109205013823492,battle-royale,106,They fixed a lot of thing_ they are working hard i believe_ just don't stop_ this game is never gonna die.
559109678257143828,battle-royale,147,hey man_ you can't even talk about that_ since some people change they resolution in fortnite files to make the game easier_ that tells everything.
559110025893773322,battle-royale,82,you think there's a big difference from 144hz and 240hz for your eye? lel cmon man
559110195285065748,battle-royale,72,lel_ i'm talking about your eye_ go read some books about eye perception
