ID,Content Length,Content
560600626476613642,47,Fortnite should add a no glasses style for room
560600959164743695,80,As I said I’d rather not have them come back but I won’t cry about it if they do
560602162938511370,43,They should add a no glasses style for room
560602688698580992,160,<@207315320313085952> I may join you guys after I go through high school and graduate college I’m going for a programming career <:justright:327528247900372994>
560602849009205269,38,<@242481416695185410> play games of BR
560602956043517952,13,Battle Royale
560984921984991242,112,Fastest way to tier up without challenges? I’m only about 3 tiers away from luxe and I wanna grind out the tiers
560985062175277058,46,I need tiers and I want em as fast as possible
560985267369017344,71,<@168672137941483520> what is it_ I probably won’t do it but what is it
560985472034275360,35,<:kyleconcerned:503312835674243083>
560985607241859073,73,<@168672137941483520> yea I ain’t going that <:potato:398057892902862849>
560985702364348463,104,Any fast legit ways even tho I don’t have any friends to play with rn? <:toiletbacon:558366319091777536>
560986074483130370,44,I want tiers bad af tho I’m so close to luxe
560986191927705621,65,I’m legit like 3 tiers away after I buy a tier after my stw daily
560986353630838784,47,I can’t buy them all I’ll only have 150 exactly
560986453098627072,63,I can level up 2 times and be 2 tiers away after I buy the tier
560986549391589396,48,<@168672137941483520> I had vbucks left over lol
560986670120304640,32,Also I’ve done all my challenges
560986808121425921,53,<@168672137941483520> tier 100 is a skin if use a lot
560986894922678272,32,<@559061033935831072> no begging
560986999553654785,25,<@523645220022255637> why
560990904085774336,81,Time to grind levels so I can get tier 100... <:kyleconcerned:503312835674243083>
560991046914277386,43,<@515991563311120384> I’m already tier 96 🦀
560991139419652100,46,Grinding for that tier 100 within this weekend
560991393795932171,111,I’m trying to grind levels now so I can get tiers I finished all my challenges so... <:boom:417793718783967253>
560991509579825172,93,<@315886922717462539> I’m about that stw life where I get free skins and tiers every so often
561002591882838046,52,Luxe is legit 4 tiers away it’s just out of reach...
