ID,Channel,Content Length,Content
558446825166733313,voice,21,<@511032939157651496>
558446835774128148,voice,21,<@511032939157651496>
558446843735048212,voice,21,<@511032939157651496>
558449495700930581,voice,74,<@511032939157651496> hey apparently this dude thinks we sounds a like ^^^
558803090137022465,general,21,<@170384975831498752>
558803379758039040,general,30,<@207163081896230914> hey dude
558803581550198795,general,60,<@207163081896230914> j haven't seen you in a while as welll
558803614991253519,general,43,<@439929595337375754> do you have a gf yet?
558803629952466944,general,2,No
558803660214370324,general,43,<@207163081896230914> do you have a gf yet?
558803724017991683,general,26,No I was asking myself duh
558803753851944962,general,10,Oooooo yet
