ID,Channel,Content Length,Content
559033455414083595,off-topic,19,Naked cats are cute
559034391557439508,off-topic,1394,<:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274> <:mccookie:309467336274870274>
559034422670786570,off-topic,2,;(
559034435949953056,off-topic,5,Bully
559034537753968640,off-topic,4,Fucc
559034551964270621,off-topic,2,;(
559034576908058634,off-topic,5,Fu (k
559034590635753482,off-topic,2,:D
559034678598828053,off-topic,25,<@539278517570109452> sup
559034777810763778,off-topic,6,Im gay
559034881074528257,off-topic,16,I. A. M a. G u y
