ID,Server,Channel,Content Length,Content
558764153821724693,Official Fortnite,clan-recruiting,43,im looking for a team i have over 1000 wins
558840601504776197,MINECRAFT,off-topic,48,Anyone wanna see how a 12 yr old starts a story?
558840677413421057,MINECRAFT,off-topic,228,*” Ughhh” leaves shuffled around as (character name) stumbled backward_ close to being swallowed up by the ground. Leaves_ dust _and pollen floated around above the ground as he fixed up his fighting stance. He stepped forward.*
558840698007453697,MINECRAFT,off-topic,22,<@!521014848168001537>
558840788281458708,MINECRAFT,off-topic,228,*” Ughhh” leaves shuffled around as (character name) stumbled backward_ close to being swallowed up by the ground. Leaves_ dust _and pollen floated around above the ground as he fixed up his fighting stance. He stepped forward.*
558840891759132672,MINECRAFT,off-topic,8,not goof
558841067416322048,MINECRAFT,off-topic,16,isn’t that spam?
558841272303878171,MINECRAFT,off-topic,3,Umm
558841404231778305,MINECRAFT,off-topic,47,Can i be dragon tamer cause dragons r my thing?
558843436606816311,Official Fortnite,lfg-battleroyale-pc,26,moving zone wars nae dm me
558846851709796362,MINECRAFT,off-topic,1,?
558846921456877578,MINECRAFT,off-topic,30,how tf do u level up ur thing.
558846949135220736,MINECRAFT,off-topic,17,like wood puncher
558847050960207882,MINECRAFT,off-topic,21,<@535968825318047745>
558847062633087023,MINECRAFT,off-topic,4,help
558847102185111553,MINECRAFT,off-topic,4,Lol.
558847462215778334,MINECRAFT,off-topic,1,.
558847519065505823,MINECRAFT,minecraft,3,Yo.
558847572601733166,MINECRAFT,minecraft,30,Anyone wanna join my mc world?
558847698917130251,MINECRAFT,minecraft,1,?
558854334805311519,MINECRAFT,minecraft,22,My very bad mcpe house
558854361808371722,MINECRAFT,minecraft,4,Yaya
558855585492369408,MINECRAFT,builds,26,My fycjung micenravt build
558855643440611353,MINECRAFT,builds,24,wait i cant post images?
