ID,Channel,Content Length,Content
558758441674342448,pewdiepie-vs-tseries,16,no fuck fortnite
558758460540321803,pewdiepie-vs-tseries,13,fuck fortnite
558758489862832148,pewdiepie-vs-tseries,8,hell nah
558758506119823380,pewdiepie-vs-tseries,16,fortnite is shit
558758606007304203,pewdiepie-vs-tseries,41,no_ fortnite is an absolute piece of shit
558758649321881601,pewdiepie-vs-tseries,25,I'd rather play minecraft
558758682448494614,pewdiepie-vs-tseries,2,me
558758705928077329,pewdiepie-vs-tseries,7,exactly
558758768188588062,pewdiepie-vs-tseries,51,minecraft is like 43 million x better than fortnite
558759366883278858,pewdiepie-vs-tseries,11,i hate apex
558759427658743808,pewdiepie-vs-tseries,69,i am completely against all battle royale games every except for pubg
558759446054961153,pewdiepie-vs-tseries,15,cuz pubg is gud
558759547800518699,pewdiepie-vs-tseries,3,yep
558759762704072709,pewdiepie-vs-tseries,166,honestly the main reason i dont like apex is because of the whole ultimate system which reminds me of overwatch_ the only 2 actual good ones are wraith and pathfinder
558759811299147797,pewdiepie-vs-tseries,68,u ever been in a game where none of ur team chose wraith/pathfinder?
558759935081709579,pewdiepie-vs-tseries,31,what the wraith/pathfinder one?
558760021341765632,pewdiepie-vs-tseries,3,yep
558760212602028052,pewdiepie-vs-tseries,128,exactly_ and since theres a 33.33333333% etc to not get either of those_ the game can be very boring_ as I said_ 33% of the time
558760321070661633,pewdiepie-vs-tseries,16,(to choose last)
558760373310980126,pewdiepie-vs-tseries,6,agreed
558760485579784205,pewdiepie-vs-tseries,45,yep and its over doubled flareTVs subscribers
558760524033294336,pewdiepie-vs-tseries,40,and they get lots of donations every day
558760544887242773,pewdiepie-vs-tseries,28,for doing absolutely nothing
558760587379736624,pewdiepie-vs-tseries,26,notice this discord server
558760607004884993,pewdiepie-vs-tseries,15,and steam group
558760650764189756,pewdiepie-vs-tseries,55,they are leeching off of the tseries vs pewdiepie fight
558760939449483264,pewdiepie-vs-tseries,7,exactly
558761095221739540,pewdiepie-vs-tseries,104,if you look at the stream chat you notice donations every 2-3 minutes/less ranging from $1 - $25 usually
558761204848394250,pewdiepie-vs-tseries,3,yep
558761254148112405,pewdiepie-vs-tseries,55,prolly the most liked livestream in youtube history too
558761269650259970,pewdiepie-vs-tseries,6,1.6mil
558761512555118659,pewdiepie-vs-tseries,9,pewdiepie
558761573951471619,pewdiepie-vs-tseries,76,damn_ how many times u think they have replayed bitch lasagna on the stream?
558761659242643457,pewdiepie-vs-tseries,71,damn_ how many times u think they replayed bitch lasagna on the stream?
558761677349453824,pewdiepie-vs-tseries,71,damn_ how many times u think they replayed b!tch lasagna on the stream?
558761735604142080,pewdiepie-vs-tseries,5,LMFAO
558761772849299470,pewdiepie-vs-tseries,41,why so much shit get deleted as msgs here
558761832152825857,pewdiepie-vs-tseries,81,damn_ how many times u think they replayed (CENSORED WORD) lasagna on the stream?
558761907389988884,pewdiepie-vs-tseries,8,bruh ikr
558762674591105024,pewdiepie-vs-tseries,418,||NLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLNLE ||
