ID,Server,Channel,Content Length,Content
558992346755366943,FlareTV - PewDiePie vs T-Series,general,2,hi
558992423418855434,FlareTV - PewDiePie vs T-Series,general,12,t series gay
558992496143630396,FlareTV - PewDiePie vs T-Series,general,11,t seies gay
558992569086902273,FlareTV - PewDiePie vs T-Series,general,9,youre gay
558992642520776706,FlareTV - PewDiePie vs T-Series,general,5,idiot
558992718752382976,FlareTV - PewDiePie vs T-Series,general,39,nothing personal kid but youre a virgin
558992874176512002,FlareTV - PewDiePie vs T-Series,general,34,yea cause youre a gay sex offender
558992949741092864,FlareTV - PewDiePie vs T-Series,general,15,im not a virgin
558993211515994142,FlareTV - PewDiePie vs T-Series,general,50,https://tenor.com/view/twilight-virgin-gif-5477329
558993400502812672,FlareTV - PewDiePie vs T-Series,general,3,oof
558993415606501376,FlareTV - PewDiePie vs T-Series,general,11,the virgins
558993551023669248,FlareTV - PewDiePie vs T-Series,general,16,what u mean hadi
558993620028358684,FlareTV - PewDiePie vs T-Series,general,2,ok
558993695739740180,FlareTV - PewDiePie vs T-Series,general,31,<:pepesmirk:555523259894988801>
