ID,Server,Channel,Content Length,Content
559021574615859221,FlareTV - PewDiePie vs T-Series,general,5,T-GAY
559021715284426762,FlareTV - PewDiePie vs T-Series,general,13,HEY boiiiiiii
559021931374968862,FlareTV - PewDiePie vs T-Series,general,15,SUB 2 PEWDIEPIE
559021995661066241,FlareTV - PewDiePie vs T-Series,general,18,i come from norway
559022046957535243,FlareTV - PewDiePie vs T-Series,general,6,me too
559022079320653836,FlareTV - PewDiePie vs T-Series,general,6,bergen
559022270308155467,FlareTV - PewDiePie vs T-Series,general,29,ok i dont care i hate me life
559022756000432129,FlareTV - PewDiePie vs T-Series,general,63,https://tenor.com/view/pewdiepie-forlorar-du-anime-gif-11274133
559022845213278208,FlareTV - PewDiePie vs T-Series,general,63,https://tenor.com/view/pewdiepie-forlorar-du-anime-gif-11274133
559022919771095069,FlareTV - PewDiePie vs T-Series,general,54,https://tenor.com/view/sans-me-roblox-dab-gif-12997606
