ID,Server,Channel,Content Length,Content
558439010952019989,MINECRAFT,bot-commands,5,?tags
558443889858707456,MINECRAFT,off-topic,37,?kick <@356582761848373252> copypasta
558445564501426177,MINECRAFT,off-topic,48,?mute  <@463869698958688256> 30m spam copypastas
558446039552753674,MINECRAFT,bot-commands,11,?serverinfo
558446463630311444,MINECRAFT,multiplayer,16,Prevent ads spam
558450032194486273,MINECRAFT,minecraft,37,?kick <@476435972251320361> copypasta
558450790423855114,MINECRAFT,support,7,Removed
558467559821672448,MINECRAFT,minecraft,37,?mute  <@368797718652387331> 30m spam
558467758346731559,MINECRAFT,minecraft,23,Meh_ Helen got them all
558468633156911124,MINECRAFT,minecraft,26,Never insult tree punchers
558831150886420484,MINECRAFT,off-topic,1,🇫
558842523704098856,MINECRAFT,minecraft,39,Dm me with proof  <@547547150578483201>
558843117080543266,MINECRAFT,bot-commands,17,Flex time is over
558843319824941087,MINECRAFT,bot-commands,22,That's my old username
558843397645926410,MINECRAFT,bot-commands,4,Yeah
558845538791981096,MINECRAFT,bot-commands,37,?rolepersist 455372697195642880 creep
558847752843427850,MINECRAFT,minecraft,52,?mute  <@503249115795423262> 30m spam cross channels
558849526635429888,MINECRAFT,off-topic,32,He no longer works for Minecraft
558849622412492836,MINECRAFT,off-topic,4,Yeah
558850361620692993,MINECRAFT,off-topic,7,Really?
558850544148414474,MINECRAFT,off-topic,53,?warn  <@492448032680443924> Do Not Advertise Servers
558850634628071445,MINECRAFT,off-topic,40,?kick  <@492448032680443924> advertising
558860978029068318,MINECRAFT,fbc,0,
558861137114955807,MINECRAFT,fbc,19,Was going to pin it
558861179032961034,MINECRAFT,fbc,30,Did you delete it by yourself?
558861435439022111,MINECRAFT,fbc,71,<@389296228107681796>'s submission: https://m.imgur.com/gallery/1fQkuyg
558861455588327469,MINECRAFT,fbc,0,
558862329010192384,MINECRAFT,bedrock-store-feedback,27,What do you need help with?
558864278560571403,MINECRAFT,minecraft,4,?t m
558864310965895198,MINECRAFT,minecraft,27,What do you need help with?
558865565490479105,MINECRAFT,off-topic,27,Reactions count is borked 😛
558866457610682369,MINECRAFT,off-topic,21,Valko took care of it
558867321943490571,MINECRAFT,bot-commands,60,Someone unpinned the list <:GWqlabsMmSad:398950708071628814>
558992430989312010,MINECRAFT,minecraft,101,<@481527511931551774> <@274615157496348674> I would suggest your dramas somewhere outside this server
558992500862222346,MINECRAFT,minecraft,46,?kick <@437753021187883028> inappropriate talk
559003231473369088,MINECRAFT,off-topic,21,Give me their user id
559003387207745556,MINECRAFT,off-topic,38,?ban 368741794848178176 dm advertising
559003669476147214,MINECRAFT,skins-n-textures,8,?purge 5
559009211649097768,MINECRAFT,fbc,35,9 hours until this fbc session ends
559010021187387416,MINECRAFT,multiplayer,10,?purge 100
