ID,Content Length,Content
558427474661474335,53,wait i just came up with a new punishment for rapists
558427487877595166,28,beating the shit out of them
558427495406501888,9,every day
558427514410893322,2,ok
558427542437101569,9,ill stahp
558427630177615922,63,is africa poor because of colonization or government corruption
558428810048045078,75,i went to japan and the buddhist temples are marked with buddhist swastikas
558428824967184384,7,on maps
558429115850686511,14,k gonna go now
558429129200893952,18,what should i draw
558429179314700288,2,ok
558429184293339157,3,uwu
558429298336333834,27,<@!325983451331166208> sure
558429313054277642,29,what am i gonna get pissed at
558429324466847755,4,lmao
558429351008534536,3,bet
558429390925463593,3,uwu
558429413331697693,31,<@!378627967435145219> why feet
558429421124583453,3,why
558429437457072129,2,uh
558429440871497748,2,ok
558429478317981699,42,<@!226566343456063489> smh my head tell us
558429527865425931,32,thank god <@!378627967435145219>
558429636774723584,27,smdh my head patron tell us
558429672690417675,14,Smh why thighs
558429681314037790,14,go for the ass
558429690281328654,3,smh
558429702994264065,21,ass is gender neutral
558429719914217492,15,every's got one
558429746954764288,38,<@554364398307901441> oh shit ur right
558429782388506664,42,yeah thighs are good but for me i like ass
558429830895632397,30,My calfs are thicker than milk
558429845395210259,32,<@!325983451331166208> no im gay
558429880950325251,42,i like my men buff_ muscly_ and a werewolf
558429942304735242,59,<@!290950188816662537> then my calfs are thicker than cream
558429980204335114,1,^
558430215827882012,77,ok so everyone @ me when patron tells yall the stuff that would "piss me off"
558430240297189387,35,im gonna eat shitty philippino food
558430739457245186,1,^
558430788866146314,56,I’m fine with hunters owning guns because I like leather
558430831316828160,44,I don’t like random ass rednecks having guns
558430902967992321,40,Alberta has a lot of hunters around here
558430948014948354,36,So I’d make sense for more guns here
558430960589340673,14,Leather is lit
558430972484255745,17,I fucking love it
558431016876900363,31,But I love parchment paper more
558431095289282562,54,Parchment paper made from animal hides are fucking lit
558431131595440129,37,You can make old books with parchment
558431181188628490,1,^
558431238055002127,45,If more hunters means more parchment I’m down
558431316614447114,1,^
558431346410651693,9,Yeah true
558431363620143115,24,Cow skin parchment paper
558431562874486815,23,PETA can eat my ass out
558431635968622592,3,Owo
558431655673593877,14,*shoots a pig*
558431699474710551,42,Oh no I sure hope peta doesn’t eat my ass~
558432006375997455,3,Wtf
558432158633426984,28,🦀🦀district’s money is gone🦀🦀
558432317887086624,4,Same
558432432601301017,22,China is also somethin
558432457792421888,18,PRC can eat my ass
558432515678011392,8,Fortnite
558432590030438420,37,Fortnite battle royal: school edition
558432880716414976,2,Ok
558432903764115456,4,Fine
558432950161637378,37,I’ll say something people disagree ok
558432959741296650,3,*on
558433229103955968,104,You know how aliens may or may not look like argonians? Yeah well if they do then aliens are fucking hot
558433339447705610,2,Ok
558433473354924090,90,I personally think that people who drink and party more than 4 times a week are low life’s
558433504556220426,23,Drink as in drink heavy
558433676841713694,4,True
558433929007333416,104,Ok here’s another controversial opinion: rich Chinese are ruining Vancouver https://youtu.be/aHCt6hByk-Q
558434004680835072,21,Rich mainland Chinese
558434021231558656,18,Not ethnic Chinese
558434040646991872,16,Rich mainlanders
558434123362861058,3,Ikr
558434220352208920,76,I want more Hong kongers maccau’s and Taiwanese not arrogant ass mainlanders
558434351017230369,70,Taiwanese hongkongers and maccau’s are overall better than mainlanders
558434446135787531,81,Comparing mainland Chinese to Japanese is like comparing a ruby to a sack of shit
558434462975918114,1,^
558434510924939276,42,Hong Kong should be British or independent
558434610443321352,1,^
558434797035192321,3,Yep
558436410005389312,54,Damn patron didn’t even tell us what would piss me off
558436887090561034,2,Oh
558438012476981258,85,its not racist to call china a shitty country as long as you're talking about the PRC
558438124997312512,2,ok
558438225501356033,6,taiwan
558438257768267806,34,it has the true artifacts of china
558438332305244210,52,https://en.wikipedia.org/wiki/National_Palace_Museum
558438434872623105,52,i do not recognize the PRC_ I only recognize the ROC
558438880580206602,1,k
558438926080278560,3,me?
558438930794414091,3,nah
558438971906981888,24,theres english in it tho
558439000025858058,2,oh
558439324031516692,52,do international students steal spots from citizens?
558439361381924874,2,ok
558439370584227850,3,uhh
558439397427642391,13,next quetsion
558439452565962752,69,ok so you know how I shop from aliexpress_ a mainland chinese company
558439471784132608,20,if i shop from there
558439505527439361,35,am I supporting the PRC government?
558439569490444298,24,it violates human rights
558439599001698304,21,Human_rights_in_China
558439616672169984,51,https://en.wikipedia.org/wiki/Human_rights_in_China
558439633927798820,8,ah right
558439647181668404,15,yeah thats true
558439879013433355,118,<@148507515888336897> amazon sucks  tbh i think amazon workers should fuck up the delivery system for a day in protest
558439889776148490,17,what name patrick
558439974794559498,7,ok fine
558439982373535774,13,ill change it
558440071653752847,5,happy
558440127865552916,24,you told me to change it
558440133624594438,5,i did
558440310288416779,8,it seems
558440314663337988,6,decent
558440321445527553,8,at least
558440376365744128,47,i went there and the euro was a pain in the ass
558440382602674187,8,in italy
558440402865094667,25,fucking expensive as hell
558440434666307604,26,euros so fucking expensive
558440439280042004,3,smh
558440466127912991,38,<@148507515888336897> like my new name
558440920283086848,8,hey guys
558440980290994196,73,on a furry discord i became a meme for a day wanna see the meme they made
558441004987056149,0,
558441017112526848,11,it was this
558441033910976513,31,the gold is my name at the time
558444224974946314,54,guys patron told me the thing that would "piss me off"
558444287361024041,29,basically he's joining a frat
558444291983278101,5,thats
558444304746414100,20,thats all he told me
558444352494370836,61,tbh it was kinda dissapointing i thought he committed a crime
558444390700285963,14,alright anyway
558444411361558535,28,what are we talkin about now
558444468597161984,6,hentai
558444480131235860,2,oh
558444506710802457,30,i was gonna say "im an expert"
558465591329947669,4,guys
558465605993234432,24,i think i have a problem
558465616852549640,19,im starting to grow
558465637136203776,30,anti-immigrant sentiment in me
558465680563896381,38,but only for wealthy  mainland chinese
558465713690509333,1,^
558465936550526989,55,im also against rich chinese people mostly in vancouver
558465939725877258,43,https://www.youtube.com/watch?v=se8OvDwgTFs
558466164427325450,1,^
558466609115561985,51,rich chinese are fucking taking over the west coast
558466612689240094,121,https://www.scmp.com/lifestyle/article/2164218/crazy-rich-asians-blamed-vancouvers-housing-affordability-crisis-political
558466725096587265,130,some more sources: https://www.theguardian.com/cities/2016/jul/07/vancouver-chinese-city-racism-meets-real-estate-british-columbia
558466861084442627,6,a what
558467068035465223,15,yeah well still
558467122313953280,34,rich chinese are ruining vancouver
558467307932745729,60,<@!325983451331166208> the rich chinese not the middle class
558467339847335947,42,but if its a bad implication then ill stop
558467554360688650,30,china needs its dynasties back
558468853643083815,23,God I hate rape culture
558468873712566292,30,I wish it didn’t fucking exist
558468920156356618,15,Similar to whom
558469444892885000,37,Yo how do you get rid of rape culture
558469457136320523,17,Besides education
558469470121754636,18,Of what consent is
558469504447807496,2,Oh
558469511792295966,3,Oof
558469571363995659,68,Well I’m gonna have to go a determine what art school I should go to
558469594667417634,32,I’ll be in <#270775140172824588>
558777880981798926,4,true
558784063675170817,7,ok wait
