ID,Server,Channel,Content Length,Content
558808989798891530,MINECRAFT,minecraft,5,?t ru
558835811584573446,MINECRAFT,off-topic,29,<a:crying:413272181326348288>
558836003570450432,MINECRAFT,off-topic,21,I'm comin for ya_ LCP
558836039414841355,MINECRAFT,off-topic,28,One day I'll be bright green
558837268669005839,MINECRAFT,off-topic,24,<@!349300676461068288> 😦
558837293914390539,MINECRAFT,off-topic,24,<@!184070798921826304> 😦
558837324683804702,MINECRAFT,off-topic,12,Shrek mode ^
558838451311607808,MINECRAFT,off-topic,33,<@!184070798921826304> Shrek mode
558838700285362196,MINECRAFT,off-topic,42,<@!184070798921826304> My name is green...
558838981907972111,MINECRAFT,off-topic,30,<@!184070798921826304> Press F
558845512778776597,MINECRAFT,off-topic,21,Today was my last day
559097768790982666,MINECRAFT,bedrock-store-feedback,12,Fogo de Chao
560624619594186752,MINECRAFT,minecraft,35,Admin ping was totes unnecessary...
560637634238480412,MINECRAFT,minecraft,2,Yo
560637921636646912,MINECRAFT,minecraft,26,That's a Helen question...
560638131066503188,MINECRAFT,minecraft,174,I don't think I'm qualified to give a proper answer to that hehe. I have my own take on it_ but it's my opinion_ and not necessarily representative of Mojang's position on it
