ID,Server,Channel,Content Length,Content
558993046411411466,FlareTV - PewDiePie vs T-Series,spamming,202,ARMY "PEWDS-WINNERS"_ WE SHOULD WIN THE ARMY "T-gays."NLNL AHEAD TO THE VICTORY! WE CAN CAN WIN! DISTRIBUTE THIS TEXT TO WE Could WON THIS WAR!NLNL COMMANDER: TheRobbCode#5892_NLNL WE'RE GOING TO 100 MILLION.
558993192360607744,FlareTV - PewDiePie vs T-Series,spamming,202,ARMY "PEWDS-WINNERS"_ WE SHOULD WIN THE ARMY "T-gays."NLNL AHEAD TO THE VICTORY! WE CAN CAN WIN! DISTRIBUTE THIS TEXT TO WE Could WON THIS WAR!NLNL COMMANDER: TheRobbCode#5892_NLNL WE'RE GOING TO 100 MILLION.
558993207292329994,FlareTV - PewDiePie vs T-Series,spamming,202,ARMY "PEWDS-WINNERS"_ WE SHOULD WIN THE ARMY "T-gays."NLNL AHEAD TO THE VICTORY! WE CAN CAN WIN! DISTRIBUTE THIS TEXT TO WE Could WON THIS WAR!NLNL COMMANDER: TheRobbCode#5892_NLNL WE'RE GOING TO 100 MILLION.
558993756238643200,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,212,ARMY "PEWDS-WINNERS COMMUNITY"_ WE SHOULD WIN THE ARMY "T-gays."NLNL AHEAD TO THE VICTORY! WE CAN CAN WIN! DISTRIBUTE THIS TEXT TO WE Could WON THIS WAR!NLNL COMMANDER: TheRobbCode#5892_NLNL WE'RE GOING TO 100 MILLION.
558993782108979222,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,212,ARMY "PEWDS-WINNERS COMMUNITY"_ WE SHOULD WIN THE ARMY "T-gays."NLNL AHEAD TO THE VICTORY! WE CAN CAN WIN! DISTRIBUTE THIS TEXT TO WE Could WON THIS WAR!NLNL COMMANDER: TheRobbCode#5892_NLNL WE'RE GOING TO 100 MILLION.
558993942755147776,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,2,:)
558995306046291979,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,397,ARMY "PEWDS-WINNERS COMMUNITY"_ WE SHOULD WIN THE ARMY "T-gays."NLNL AHEAD TO THE VICTORY! WE CAN CAN WIN! DISTRIBUTE THIS TEXT TO WE Could WON THIS WAR!NLNL COMMANDER: NLDiscord: TheRobbCode#5892_NLNLSubscribe to PewDiePie: https://www.youtube.com/user/PewDiePieNL &NL unsubscribe from T-gay: https://www.youtube.com/user/tseriesNLNL WE'RE GOING TO 100 MILLION!!!!NLNL#tgay #pewdiepie #PEWDS-WINNERS-COMMUNITY
558995342683537419,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,397,ARMY "PEWDS-WINNERS COMMUNITY"_ WE SHOULD WIN THE ARMY "T-gays."NLNL AHEAD TO THE VICTORY! WE CAN CAN WIN! DISTRIBUTE THIS TEXT TO WE Could WON THIS WAR!NLNL COMMANDER: NLDiscord: TheRobbCode#5892_NLNLSubscribe to PewDiePie: https://www.youtube.com/user/PewDiePieNL &NL unsubscribe from T-gay: https://www.youtube.com/user/tseriesNLNL WE'RE GOING TO 100 MILLION!!!!NLNL#tgay #pewdiepie #PEWDS-WINNERS-COMMUNITY
558995483234926602,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,319,ARMY "PEWDS-WINNERS COMMUNITY"_ WE SHOULD WIN THE ARMY "T-gays."NLNL AHEAD TO THE VICTORY! WE CAN CAN WIN! DISTRIBUTE THIS TEXT TO WE Could WON THIS WAR!NLNL COMMANDER: NLDiscord: TheRobbCode#5892_NLNLSubscribe to PewDiePieNL &NL unsubscribe from T-gayNLNL WE'RE GOING TO 100 MILLION!!!!NLNL#tgay #pewdiepie #PEWDS-WINNERS-COMMUNITY
558995601065246720,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,319,ARMY "PEWDS-WINNERS COMMUNITY"_ WE SHOULD WIN THE ARMY "T-gays."NLNL AHEAD TO THE VICTORY! WE CAN CAN WIN! DISTRIBUTE THIS TEXT TO WE Could WON THIS WAR!NLNL COMMANDER: NLDiscord: TheRobbCode#5892_NLNLSubscribe to PewDiePieNL &NL unsubscribe from T-gayNLNL WE'RE GOING TO 100 MILLION!!!!NLNL#tgay #pewdiepie #PEWDS-WINNERS-COMMUNITY
558995617221705738,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,319,ARMY "PEWDS-WINNERS COMMUNITY"_ WE SHOULD WIN THE ARMY "T-gays."NLNL AHEAD TO THE VICTORY! WE CAN CAN WIN! DISTRIBUTE THIS TEXT TO WE Could WON THIS WAR!NLNL COMMANDER: NLDiscord: TheRobbCode#5892_NLNLSubscribe to PewDiePieNL &NL unsubscribe from T-gayNLNL WE'RE GOING TO 100 MILLION!!!!NLNL#tgay #pewdiepie #PEWDS-WINNERS-COMMUNITY
558995635538362369,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,3,rrr
558995959464460298,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,319,army "pewds-winners community"_ we should win the army "t-gays."NLNL ahead to the victory! we can can win! distribute this text to we could won this war!NLNL commander: NLdiscord: therobbcode#5892_NLNLsubscribe to pewdiepieNL &NL unsubscribe from t-gayNLNL we're going to 100 million!!!!NLNL#tgay #pewdiepie #pewds-winners-community
558996020076347393,FlareTV - PewDiePie vs T-Series,pewdiepie-vs-tseries,22,Sorry_ I'm from Russia
