ID,Server,Channel,Content Length,Content
558810839260594183,r/teengamingnights,general,37,how do I change my name as tX donator
560626758550945810,r/teengamingnights,general,87,imagine being banned for 6 hours after somone said Nword hard r not even 10 mins before
560626810111393793,r/teengamingnights,general,7,awesome
560630954687987752,r/teengamingnights,general,27,Lol being gay is a race. ok
560631118961836053,r/teengamingnights,general,49,why cant some people just take entry level banter
560631207386415154,r/teengamingnights,general,37,I said "Connor7000? More like -------
560632544362627125,r/teengamingnights,reports,30,Yep and Im the one whos banned
560633825118388239,r/teengamingnights,general,10,ew yankees
560633878176595989,r/teengamingnights,general,6,redsox
560633995184963595,r/teengamingnights,general,37,AgAUh RuLe 1A: nO HoMoPhObIc LaNgUaGe
560634183794556928,r/teengamingnights,general,49,WOOOOW NICE CONNOR REMOVING MESSAGES NOW ARE WE??
560634465450459146,r/teengamingnights,general,86,ticha the problem I have is cencorship_ and removing messages on discord is cencorship
560634696560803862,r/teengamingnights,general,25,however you spell it idfc
560634875066187779,r/teengamingnights,general,35,He removed my message about rule 1A
