ID,Server,Channel,Content Length,Content
558833204941946900,MINECRAFT,off-topic,33,Does anyone want to play on mcpe?
558833314522202137,MINECRAFT,off-topic,22,Gordon Ramsay is here!
558833406427791360,MINECRAFT,off-topic,13,Sorry to hear
558833524980056075,MINECRAFT,off-topic,29,But are crocs that expensive?
558833650343477272,MINECRAFT,off-topic,20,"Those are my crocs"
558833732425875487,MINECRAFT,off-topic,8,It would
558833763745005589,MINECRAFT,off-topic,31,But depends on how you spend it
558833845311373314,MINECRAFT,off-topic,75,Lowkey glad she took the money because you wouldn't have put it to good use
558834054758268958,MINECRAFT,off-topic,24,But you're Gordon Ramsay
558834135414734852,MINECRAFT,off-topic,6,No the
558834170751877131,MINECRAFT,off-topic,3,👁👄👁
558834286829109249,MINECRAFT,off-topic,20,Oh wow a masterpiece
558834456891359235,MINECRAFT,off-topic,22,oo iron golem told you
558834489888079892,MINECRAFT,off-topic,3,👁👄👁
558834536541192192,MINECRAFT,off-topic,7,Yeah me
558834567021068301,MINECRAFT,off-topic,16,Omg what a queen
558834579499384875,MINECRAFT,off-topic,7,I stand
558834750828183563,MINECRAFT,off-topic,61,I'll never look at stone the same again <@281556800828997634>
558835057335336980,MINECRAFT,off-topic,30,Sipping on that true tea hunty
558835098519207936,MINECRAFT,off-topic,17,Roblox is better!
558835192219828225,MINECRAFT,off-topic,5,Oh no
558835244824789012,MINECRAFT,off-topic,14,Roblox is best
558835378141003786,MINECRAFT,multiplayer,3,Hii
558835623746863125,MINECRAFT,minecraft,34,Does anyone want to play minecraft
558835650443477012,MINECRAFT,minecraft,3,👁👄👁
558835853506641921,MINECRAFT,minecraft,21,I'm calling the cops!
558835895063805974,MINECRAFT,minecraft,3,Hi!
559009006857748488,MINECRAFT,minecraft,44,Does anyone want to play minecraft together?
559009126865305625,MINECRAFT,minecraft,28,<@299901079003594752>  I do.
559009210822819881,MINECRAFT,minecraft,27,<@480459029068513280> on pe
559009485121650709,MINECRAFT,minecraft,35,<@480459029068513280> You choose XD
559038570900226060,MINECRAFT,multiplayer,63,Does anyone want to play minecraft bedrock together (mobile) Dm
