ID,Server,Channel,Content Length,Content
558813642674667572,Official Fortnite,battleroyale-images,23,How do I refund things?
558814178618507283,Official Fortnite,fortnite-general,45,<@!146786260785168384> wdym I have 3 refunds?
558814396118335520,Official Fortnite,fortnite-general,71,How do I refund them if you don’t mind telling me <@123891817081995265>
558814765376602114,Official Fortnite,fortnite-general,22,And I get free stuff 🤔
558815003571126285,Official Fortnite,fortnite-general,72,<@123891817081995265> I was thinking of the wrong refund I’m so sorry xD
558815934341578772,Official Fortnite,lfg-battleroyale-mobile,39,I have battle pass if you need Xp dm me
558840679376355373,Official Fortnite,fortnite-general,75,<@322522997229355019> only one person can play at a time with the sam login
558840835873964043,Official Fortnite,fortnite-general,33,<@375741895097188385> can you not
558840976748314644,Official Fortnite,fortnite-general,33,I headshot someone they didnt die
558841268126351389,Official Fortnite,lfg-battleroyale-mobile,58,ANYONE want to grind and defeat challenges in Team Rumble?
559097638306316300,Official Fortnite,lfg-battleroyale-mobile,41,<@558059625782575104> i think it might be
