ID,Content Length,Content
558449020314451969,0,
558760177445371915,270,nobody:NLArizonians: LMAO ITS LIKE AN OVEN DOWN HERE BUT TRUST ME ITS NOT THAT BAD BECAUSE ITS DRY HEAT THE SAGUARO CACTI ARE FUCKING HUGE WE DONT HAVE DAYLIGHT SAVINGS TIME HEY DID YOU KNOW ITS HOT IN OUR CARS IN THE SUMMER WOW ITS CRAZY ITS LIKE AN OVEN IN OUR CARS WOW
558760626361597995,28,what the fuck am im watching
558765451014963200,60,im a bit shorter than the height of five 5 dollar foot longs
558829804439470091,0,
558829822638555177,34,me and my friends minecraft server
558852969500770324,0,
558852996839243816,39,higher quality version of previous meme
560601198923612194,52,when i was like 7 i made a suit out of mtn dew boxes
560601220754964481,29,ill try to find some pictures
560601704320467005,0,
560601787099512834,0,
560602725394415637,0,
560602734177419264,16,big brain mining
560622753456324620,0,
560625802819928064,0,
560629015254138911,4,BRUH
560629066861117440,92,U KNOW WHEN U SITTING DOWN AND U TRY TO FART AND IT FEELS LIKE IT GETS ROLLED UP IN UR TAINT
560629087425658881,25,THATS CALLED A MEAT BUBLE
560629709247873070,6,smorjt
560629772083003432,7,oh shit
560629819642085406,76,i opened my window cuz it was hot in my room and someone is FUCKING GRILLING
560629834557030411,18,IM GONNA FIND THEM
560629962860920842,6,me_irl
560630058973265940,54,i guess thats me bcuz i havnt worked on my book report
560633793330020353,18,who here is a weeb
560633883943763969,74,whoever names an anime first is the anime i watch the full first season of
560634469107761164,38,re zero is the one with the trap right
560982208949780491,4,yeah
560982214876069888,10,im a gamer
560982219842387990,0,
560982758055346186,23,hell yeah i fucking did
560983169080360960,0,
560983187095027712,11,wrong image
560983206581764096,0,
560983216530653184,14,fucking madlad
560983455106859038,64,oh god oh fuck dont say s*x my mom reads the minecraft chat logs
560983822007533569,38,bruh just search up emo goth girl font
560983848037646336,13,theater grill
560998476217843732,0,
561005404235235368,50,jump towards him and stop the shooting or join him
561005494148268052,76,you either die a hero or live long enough to see yourself become the villain
