ID,Server,Channel,Content Length,Content
558449020314451969,r/teenagers,memes,0,
558453506562850855,r/teenagers,general,223,dudes i was walkin back home and theres this generic christian soccer mom that lives down where i go but there was like a bunch of minivans outside her house it was a like a motorcycle gang but with minivans and soccer moms
558454294903521290,r/teenagers,general-2-electric-boogaloo,2,so
558454535388135474,r/teenagers,general-2-electric-boogaloo,217,i was walkin back home and theres this generic christian soccer mom that lives down where i go but there was like a bunch of minivans outside her house it was a like a motorcycle gang but with minivans and soccer moms
558455045625085956,r/teenagers,general-2-electric-boogaloo,64,ever have a gang of soccer moms and tweakers on the same street?
558465838731231252,r/teenagers,general,2,yo
558465915994505230,r/teenagers,general,34,nobody:NLBMW: I38162h1vd9ASD6aASHDW
558466053185863680,r/teenagers,general,0,
558466190629011481,r/teenagers,general,1,^
558466213563334662,r/teenagers,general,7,THE MAN
558466227400605727,r/teenagers,general,10,THE LEGEND
558466233737936897,r/teenagers,general,6,ATONYK
558466415057698837,r/teenagers,general,16,atonyk was a god
558466423870062607,r/teenagers,general,3,is*
558466428856958989,r/teenagers,general,5,sorry
558466514437668884,r/teenagers,general,6,it has
558466517470150656,r/teenagers,general,3,tho
558466601238659082,r/teenagers,general,31,<@!418244625820549151> why ping
558466635930009630,r/teenagers,general,31,<@!466449226574987295> why ping
558466668146458624,r/teenagers,general,26,<@!418244625820549151> thx
558466721804058634,r/teenagers,general,2,yo
558466723582574615,r/teenagers,general,4,wait
558466815064277024,r/teenagers,general,36,<@!466449226574987295> did i ping u?
558467027581272085,r/teenagers,general,4,yeha
558467031750672394,r/teenagers,general,4,yeah
558467086335213578,r/teenagers,general,77,i have hw breaks that last from the time i get home to the time i go to sleep
558467162520682526,r/teenagers,general,22,<@!418244625820549151>
558467272096743454,r/teenagers,general,45,FORTNITE CHANNEL <:wheeze:468319611595653120>
558467447070523422,r/teenagers,general,50,<@!418244625820549151> your past was pretty recent
558467708262547478,r/teenagers,general,22,<@!418244625820549151>
558467735508746240,r/teenagers,general,8,mods plz
558467741053485067,r/teenagers,general,10,have mercy
558467748540186625,r/teenagers,general,12,its relevant
558467857567186945,r/teenagers,general,14,not irrelevant
558467903674908685,r/teenagers,general,20,THE NEW EMOJIS CCAME
558467958800908288,r/teenagers,general,4,wait
558467962458079252,r/teenagers,general,2,no
558467977117302789,r/teenagers,general,11,no jahcoin?
