ID,Content Length,Content
559031503695249418,18,Buy a better chair
559031513245548544,4,Pleb
559031547580121119,4,What
559031589137416192,31,Atleast my chair isn't retarded
559032776200945665,4,2.18
559032982799908865,25,<:LUL:529569462752641034>
559033450422599681,11,No you wont
559033461214674946,16,Are you retarded
559033604525654016,91,>human which is 140kgNL>Only 170 NLYou wouldn't even be able to wrap your arms around him lad
559034309433098260,15,Lad i've seen u
559034345243803649,24,If you're 69kg i am 30kg
559034520611979306,38,Oh no? <:shinocool:529569462681337856>
559034544812982274,28,U sure bout that one brother
559034886464471042,11,bernas doxx
559034990256586763,21,Bernas no need to lie
559035018606018570,22,I know you're insecure
559035032359141376,18,But you hot aight?
559035088881451019,4,Ewww
559035106384150548,26,<:puke:284834462452285441>
559035186403344413,4,Wait
559035220058308653,21,Afraaz you're a brit?
559035307610341387,12,Abouts where
559035472672981002,51,Wait fuck if afraaz lives at the same place as saul
559035508999847955,39,I could've bullied him irl 2 months ago
559035519238144020,33,<:notlikemiya:529569462639263744>
559035598867005461,3,Eww
559035607448551435,9,Fake brit
559035612171206676,4,Gtfo
