ID,Channel,Content Length,Content
558785663538036758,general,4,damn
558785709188841483,general,21,"I'll see you in hot"
558789515456675861,general,21,you have my attention
558789584855760918,general,14,just play pubg
558789996862242837,memes,58,https://twitter.com/xsqoof/status/1108752377681571845?s=21
558791224971100161,general,15,bloods or crips
558791280700686354,general,23,ill take that as a crip
558791313542086696,general,3,YES
558791789352321046,general,0,
558792034677424148,general,23,<@342475960622514203> 🍆
558793411638067232,general,7,80 > 18
558793439588646922,general,14,get outta here
558793622850633728,general,27,wait is that the ohare gang
558794219548966916,general,5,WOOSH
558794239153274890,general,18,sav got so wooshed
558794290688688129,general,10,thats edgy
558846496158646315,karaoke,5,!stop
558846658616492033,karaoke,5,!skip
558861667539222530,general-2-electric-boogaloo,46,guys does anyone know anything about encoding?
558861677055967233,general-2-electric-boogaloo,16,i need some help
558870010592755722,voice,42,for posting things relevant to voice chats
559005804087214093,general-2-electric-boogaloo,27,<@!381381785499729920> UTF8
559006218035789845,general-2-electric-boogaloo,24,It keeps corrupting shit
559032255998197760,general-2-electric-boogaloo,9,hi crosby
559032371559792670,general-2-electric-boogaloo,140,trying to encode the lvl files for my game but it keeps corrupting it so im just gonna try to ask everywhere and see if anyone has knowledge
559032438102294531,general-2-electric-boogaloo,33,i think ive figured it out though
559034739218972692,general-2-electric-boogaloo,21,ayy i figured it out!
559050418362122250,general-2-electric-boogaloo,27,what do you mean by assets?
559050522884046869,general-2-electric-boogaloo,2,oh
559050555071135795,general-2-electric-boogaloo,50,I paid a dude on fiverr to design pixel art for it
559050766275313679,general-2-electric-boogaloo,12,ooh really?!
559050804808646666,general-2-electric-boogaloo,57,i find it really hard to get lighting down with pixel art
559050838140518401,general-2-electric-boogaloo,29,that must be the hardest part
559050960689954816,general-2-electric-boogaloo,8,woah wtf
559050966071246859,general-2-electric-boogaloo,14,those are good
559051091367428117,general-2-electric-boogaloo,36,you should setup a gig on fiverr too
559051111370194974,general-2-electric-boogaloo,25,you'd probably make a lot
