ID,Channel,Content Length,Content
558758707022790666,global-md,28,I got asuna in yuuki rate up
558758722072215555,global-md,4,Reee
558758739834961924,global-md,20,Wanted asuna anyways
558760913189208075,pulls,3,Nah
558760927688785933,pulls,16,Main account now
558772543960514591,global-md,35,What should I limit break asuna got
558772558774665216,global-md,4,For*
558772590676803611,global-md,17,Attack_ Hp or MP?
558772665712771093,global-md,7,Attack?
558772700282093599,global-md,22,It’s for the new asuna
558772743307526164,global-md,3,Kek
558779641746161708,pulls,0,
558779918779940883,pulls,36,I keep getting night time argo scout
558780210439258113,pulls,30,Give fucking sweet voice asuna
558780375422468116,pulls,1,👀
558786338925707287,global-md,13,Saving up MDS
559008802553462785,pulls,0,
559009005880475658,pulls,2,No
559009050994540544,pulls,32,I want fucking sweet voice asuna
