ID,Server,Channel,Content Length, Content
558108182388539404,r/teenagers,memes,0,
558115398365610004,r/teenagers,memes,0,
558115528430845953,r/teenagers,memes,22,I should buy a scooter
558115584005636107,r/teenagers,memes,4,Yeah
558116012734808094,r/teenagers,memes,56,https://twitter.com/LxFrancis/status/1108520181402222593
558116031068110858,r/teenagers,memes,27,<:haHAA:353233360212066326>
558841529628753941,r/teenagers,memes,0,
558845758535892994,r/teenagers,memes,18,Learn some grammar
558846561023557643,r/teenagers,memes,31,<@250781496875548672> yes it is
558846773175517194,r/teenagers,memes,25,Fishing sucks anyways lol
559049520034611211,r/teenagers,memes,14,ewwwwwwwwwwwww
559049538388754472,r/teenagers,memes,12,rezero sucks
559049585566416900,r/teenagers,memes,7,it does
