ID,Channel,Content Length,Content
559015594033152005,lounge,36,Csgo turned free when the br started
559021067906318396,lounge,3,Lol
559021358571323402,lounge,1,🤔
559021556102201346,lounge,38,Well it was like 6 months or something
559021734326698034,lounge,6,Nar tf
559021746607620107,lounge,10,Ye you can
559021892707811348,lounge,3,Oui
559022240407093298,lounge,4,Lol\
559051428157587467,lounge,43,I'm bored someone suggest a command to make
559051619665182732,lounge,1,🤔
559051856421322769,lounge,62,!alias add banhakers ban <@428586715913912330> They wanted it?
559051876050665526,lounge,12,There you go
559051905595211777,lounge,3,Lol
