ID,Channel,Content Length,Content
558460012985450526,lounge,0,
558468774861471754,botchat,148,<https://anidb.net/perl-bin/import.pl>NL<https://anilist.co/settings/import>NL<https://kitsu.io/settings/imports>NL<https://myanimelist.net/import.php>
558473617315201058,botchat,69,<@553324309071003668> Here_ take some credits. Enjoy! (+120 credits!)
558473677608321045,botchat,193,~~NL~~  :heart: :heart: :mushroom:NL>:snowflake: :snowflake: :heart:NL  :cherries: :cherries: :snowflake:NL<@553324309071003668> Two symbols! Your bet is multiplied * 2! 238! NL Current credits: 358
558474319869771778,botchat,148,<https://anidb.net/perl-bin/import.pl>NL<https://anilist.co/settings/import>NL<https://kitsu.io/settings/imports>NL<https://myanimelist.net/import.php>
558759313309433856,lounge,47,https://pbs.twimg.com/media/DiP1RD6XUAASJGY.jpg
558759436265717771,lounge,103,https://cdn3.dualshockers.com/wp-content/uploads/2018/09/KH3_KeyArt_Reveal_1200x12002-ds1-1340x1340.jpg
558762355090259989,botchat,105,```NL!poll [text...]NLNLStarts/stops a pollNLNLUsage example:NLpoll Is this a poll?;Yes;No;MaybeNLpoll stopNLNL```
558763236778967040,botchat,92,**POLL STARTED!**NLNLban futanari/traps on 18plus?NLNL1. *yes*NL2. *no*NLNLType the number to vote!
558763359579668510,18plus,92,**POLL STARTED!**NLNLban futanari/traps on 18plus?NLNL1. *yes*NL2. *no*NLNLType the number to vote!
558763488999112736,botchat,78,**POLL ENDED!**NLNLban futanari/traps on 18plus?NLNL*yes* - 0 votesNL*no* - 0 votes
558763612676685824,18plus,78,**POLL ENDED!**NLNLban futanari/traps on 18plus?NLNL*yes* - 2 votesNL*no* - 0 votes
558767374329970690,lounge,48,https://i.ytimg.com/vi/RoxSwz3Z3Dc/hqdefault.jpg
558770060597002256,lounge,247,https://o.aolcdn.com/images/dims3/GLOB/crop/995x653+40+68/resize/1028x675!/format/jpg/quality/85/http%3A%2F%2Fo.aolcdn.com%2Fhss%2Fstorage%2Fmidas%2F2ff4fbaaaebd3c4b361e61123b03816d%2F206474737%2FScreen%2BShot%2B2018-06-22%2Bat%2B12.19.41%2BPM.png
558786470135988227,botchat,96,**Question number 1!**NLNLWhat country is highlighted on this map? https://i.imgur.com/jxPvm6J.png
558786538092232715,botchat,23,Easy: Marshall Islands.
558786551350427660,botchat,96,**Question number 2!**NLNLWhat country is highlighted on this map? https://i.imgur.com/qcnevI9.png
558786619415724033,botchat,24,I know this one! Angola!
558786633198206976,botchat,96,**Question number 3!**NLNLWhat country is highlighted on this map? https://i.imgur.com/ii5rr9F.png
558786701351452697,botchat,23,I know this one! Samoa!
558786715121352704,botchat,96,**Question number 4!**NLNLWhat country is highlighted on this map? https://i.imgur.com/YOBQKuj.png
558786782871945216,botchat,14,Easy: Comoros.
558786796134203393,botchat,96,**Question number 5!**NLNLWhat country is highlighted on this map? https://i.imgur.com/fSZjTZk.png
558786821203689472,botchat,15,Trivia stopped.
558802060649299978,lounge,191,```diffNL+ Evix is Melodic StarNL- Shintaro is a pedophile NL- Zane is a pedophilic bisexual furry who's into bestialityNL- Shield aka Cumbox is a furryNL- Elly is underageNL- Sei hates newfagsNL```
558805829990613022,lounge,0,
558815648566870027,lounge,116,https://vignette.wikia.nocookie.net/nicodougasingers/images/2/23/Lollia_Yuragi.png/revision/latest?cb=20140128090020
558815698697322496,lounge,77,https://pbs.twimg.com/profile_images/1079867487674482688/-V_roujY_400x400.jpg
558815725880344576,lounge,132,https://cdn.shopify.com/s/files/1/0806/5403/products/lollia-breathe-hand-cream_0f1ab39c-7660-494d-94d9-31b0e55ab5c4.jpg?v=1500047299
558815785351381011,lounge,116,https://vignette.wikia.nocookie.net/nicodougasingers/images/2/23/Lollia_Yuragi.png/revision/latest?cb=20140128090020
558829151688065024,lounge,523,You can go to <https://www.masterani.me/export> you can export your list.NLNLIf you get redirected to the main page after trying to export your list that means that you weren't logged in before the site shutdown. However_ there's no need to worry_ you can go to any profile page NLlike <https://www.masterani.me/u/username>  and click the follow icon to open up the login modal. NLNLAfter logging in you can either export your list by going to <https://www.masterani.me/export> or using the download option in the user settings.
558831557633114112,botchat,148,<https://anidb.net/perl-bin/import.pl>NL<https://anilist.co/settings/import>NL<https://kitsu.io/settings/imports>NL<https://myanimelist.net/import.php>
558831665468801025,lounge,523,You can go to <https://www.masterani.me/export> you can export your list.NLNLIf you get redirected to the main page after trying to export your list that means that you weren't logged in before the site shutdown. However_ there's no need to worry_ you can go to any profile page NLlike <https://www.masterani.me/u/username>  and click the follow icon to open up the login modal. NLNLAfter logging in you can either export your list by going to <https://www.masterani.me/export> or using the download option in the user settings.
558831767390388225,botchat,148,<https://anidb.net/perl-bin/import.pl>NL<https://anilist.co/settings/import>NL<https://kitsu.io/settings/imports>NL<https://myanimelist.net/import.php>
558843885757923336,lounge,20,**zena's size:**NL8=D
558844586210885645,lounge,97,https://cdn.discordapp.com/attachments/147715654579912704/402740478879072256/wallhaven-300214.png
558845948176891905,botchat,69,<@553324309071003668> Here_ take some credits. Enjoy! (+120 credits!)
558845973921529868,botchat,42,<@553324309071003668> Your balance is: 124
558845998626111490,botchat,159,~~NL~~  :cyclone: :two: :cyclone:NL>:sunflower: :four_leaf_clover: :sunflower:NL  :six: :cyclone: :six:NL<@553324309071003668> Nothing! Lost bet. NL Credits left: 1
558855595625676810,botchat,148,<https://anidb.net/perl-bin/import.pl>NL<https://anilist.co/settings/import>NL<https://kitsu.io/settings/imports>NL<https://myanimelist.net/import.php>
558868696320442388,lounge,24,Done. It was about time.
558995543234445314,botchat,40,<@553324309071003668> Your balance is: 1
558995567917793280,botchat,69,<@553324309071003668> Here_ take some credits. Enjoy! (+120 credits!)
559002042580992031,lounge,54,**Past 20 names**:NLdaniswprs_ satekelinci_ Yuzu_ Yuzu🍋
559002378292953098,botchat,79,<@553324309071003668> spins the cylinder of the revolver with 1 bullet in it...
559002382944567298,botchat,69,sib76 places the muzzle against his/her head and pulls the trigger...
559002392042012673,botchat,48,sib76's brain gets splattered all over the wall.
559002965160230913,lounge,30,http://i.imgur.com/rSdTnMA.png
559003182961786904,lounge,95,https://66.media.tumblr.com/ba010b6293520063213b245aa809e765/tumblr_obgg8vKYiN1vtugmzo1_500.gif
559010274825338880,botchat,0,
559010700668960782,botchat,146,```NL!penis [users...]NLNLDetects user's penis lengthNLThis is 100% accurate_ don't question it.NLEnter multiple users for an accurate comparison!NLNL```
559010762123771925,botchat,55,**Lucifer Langdon's size:**NL8=========================D
559011418620428298,botchat,31,You need to pass in a tag name.
559011418842595334,botchat,830,```NL!tag <name>NLNLAllows you to tag text for later retrieval.NLNLIf a subcommand is not called_ then this will search the tag databaseNLfor the tag requested.NLNLCommands:NL  alias   Creates an alias for a pre-existing tag.NL  all     Lists all server-specific tags for this server.NL  create  Creates a new tag owned by you.NL  edit    Modifies an existing tag that you own.NL  generic Creates a new generic tag owned by you.NL  info    Retrieves info about a tag.NL  list    Lists all the tags that belong to you or someone else.NL  make    Interactive makes a tag for you.NL  raw     Gets the raw content of the tag.NL  remove  Removes a tag that you own.NL  search  Searches for a tag.NL  stats   Gives stats about the tag database.NLNLType !tag command for more info on a command.NLYou can also type !tag category for more info on a category.NL```
559012258144059394,botchat,24,(╯°□°）╯︵ uopƃuɐ˥ ɹǝɟᴉɔn˥
559019056921968691,botchat,42,<@553324309071003668> Your balance is: 241
559021521679548416,botchat,79,<@553324309071003668> spins the cylinder of the revolver with 1 bullet in it...
559021526381363221,botchat,69,sib76 places the muzzle against his/her head and pulls the trigger...
559021535214698496,botchat,31,sib76 lives to see another day.
559035138579759135,botchat,96,**Question number 1!**NLNLWhat country is highlighted on this map? https://i.imgur.com/YxDKxsY.png
559035180401295395,botchat,30,You got it Lio! **+1** to you!
559035194091241481,botchat,96,**Question number 2!**NLNLWhat country is highlighted on this map? https://i.imgur.com/5el1VgN.png
559035211199938571,botchat,30,You got it Lio! **+1** to you!
559035224428773386,botchat,96,**Question number 3!**NLNLWhat country is highlighted on this map? https://i.imgur.com/piTTm6z.png
559035238249136134,botchat,30,You got it Lio! **+1** to you!
559035254430761021,botchat,96,**Question number 4!**NLNLWhat country is highlighted on this map? https://i.imgur.com/UammPKQ.png
559035322361577472,botchat,14,Easy: Jamaica.
559035336152449044,botchat,96,**Question number 5!**NLNLWhat country is highlighted on this map? https://i.imgur.com/YVpXfK9.png
559035403890458624,botchat,13,Easy: Brunei.
559035417454837800,botchat,96,**Question number 6!**NLNLWhat country is highlighted on this map? https://i.imgur.com/s88SrzP.png
559035566671527981,botchat,18,Easy: Saint Lucia.
559035580156084225,botchat,96,**Question number 8!**NLNLWhat country is highlighted on this map? https://i.imgur.com/ph52UhZ.png
559035643850784779,botchat,37,Oh really? It's St Vincent of course.
559035942988414987,botchat,30,You got it Lio! **+1** to you!
559035958712860682,botchat,97,**Question number 15!**NLNLWhat country is highlighted on this map? https://i.imgur.com/CK2BgyY.png
559035978090676235,botchat,30,You got it Lio! **+1** to you!
559035992904957997,botchat,97,**Question number 16!**NLNLWhat country is highlighted on this map? https://i.imgur.com/fSZjTZk.png
559036060533784597,botchat,34,Oh really? It's Nigeria of course.
559036074400415745,botchat,97,**Question number 17!**NLNLWhat country is highlighted on this map? https://i.imgur.com/2uGKX9L.png
559036138208100354,botchat,12,Easy: Palau.
559036152229789706,botchat,97,**Question number 18!**NLNLWhat country is highlighted on this map? https://i.imgur.com/dsdpFLv.png
559036164389208074,botchat,30,You got it Lio! **+1** to you!
559036178054250506,botchat,39,```diffNL+ Results: NLNL+ Lio#1873	10NLNL```
