ID,Server,Channel,Content Length,Content
558766552091197442,Official Fortnite,off-topic,51,<@510991427417669642> Please don't ask for handouts
558766715773911110,Official Fortnite,off-topic,21,<#421029887617400842>
558768281994002433,Official Fortnite,battle-royale,4,pass
558769287876313089,Official Fortnite,fortnite-general,87,<@347747173699682325> Use the lfg channels_ without the advertising of your code please
558769311934840832,Official Fortnite,fortnite-general,4,!lfg
558769343458967563,Official Fortnite,fortnite-general,27,<@344580057286705162> I can
558769358143488021,Official Fortnite,fortnite-general,14,so stop please
558769583046262814,Official Fortnite,fortnite-general,12,oh damn_ oof
558769721256706071,Official Fortnite,fortnite-general,52,<@384411562686939136> Try the lfg channels next time
558771874335555584,Official Fortnite,fortnite-general,145,Well_ whatever you dev it's not fortnite_ so please take it to <#345176155348926474>. If impersonating devs is your thing_ there's other ways out
