ID,Content Length,Content
558433922141257749,39,<@!139804624403038208> 😳 is it u teehee
558447225949388807,19,teenagers lie a lot
558447232333119519,9,so i mean
558447304370159622,13,idk who cares
558447334867075072,30,someone mentioned ur name once
558447346170462229,20,and it was like yea.
558447364956749830,6,daiana
558447368513650752,9,god damnt
558447378718523402,14,youre so toxic
558447450654900234,17,@ mods diana pa!!
558447456602554380,10,im kidding
558447478912057364,38,me and diana are edating guys back off
558447489074593805,1,😀
558447598998913069,8,kill her
558803954721488914,23,ay yo whatup dumb heads
558803986149277725,32,whats wrong withbeing 14 dog wtf
558804040587280415,1,😡
558804060912746527,4,what
558804067611181058,2,??
558804079736913932,2,oh
558804212306149397,8,scawy___
558868006978191361,35,oh so u niggas is retarded retarded
558868034568323082,12,whatsup both
558868090713276436,7,yeah fr
558868119884660747,28,i dont talk in there anymore
558868126771576833,15,kinda got bored
558868209558880267,24,dont do it both i love u
559053291867340811,22,weebs dont have rights
559053305406292028,21,idk what ur tryna say
559053409068777495,6,love u
559053448134393856,16,suck my fat dick
559053451418533890,6,please
559053555349323803,18,yeahn ur not wrong
559053594830045184,12,is he wrong?
559053596147187722,2,no
559054051917168673,33,why is all of you niggas retarded
559054099937492992,10,its a dog?
559054107634171904,10,in a croc?
559054120225341443,24,are you fucking disabled
559054318125449246,22,bambi is also a retard
559054361851068416,31,seems to be the main point here
559054406625263632,14,love u brandon
559054620102492162,32,PORN MAKES YOU DISRESPECT WOMAN?
559054622015225867,4,WHAT
559054634136895519,15,LMFAOAOOAOAOAAO
559056908150112277,59,holy shit the braindead teenserv users came out of the cave
559057100781781017,60,<@189793204349042689> this shit got me rolling lmfaoaooaaooa
559058011352465458,8,lets goo
559058892731056132,3,why
560286746286227456,46,<@544520654284914688> was doing smth sorry lol
560288058264518656,34,holy if this chat isnt ever cancer
560288117685223447,8,hi diana
560288131660775426,11,how are you
560288181946417158,10,im alright
560288227882434570,2,no
560288321654358017,33,would you really fuck this for 1b
560608040529821717,5,night
560608137313255434,2,pc
560608511298633789,52,<@!189793204349042689> if we're apexing im not vcing
560608534782279680,29,im gonna solo queue otherwise
560608585902456833,12,dumb bitch__
560608800642433044,11,i like cock
560608810058645525,1,😄
560630169841303563,4,cowe
560630256411607058,4,cowe
560635816452554753,37,woke up with egirl ass on my mind ngl
560635917757317151,3,yes
560635921989632012,11,me and eliz
560635926397583370,11,are married
560635933406396441,7,dumbass
560635941585289216,1,🤣
560636041992863782,13,imagine being
560636046656798741,8,m2 mitch
560636058975338496,18,thats a funny joke
560636124566126602,19,sorry to hear diana
560636127531499530,1,🤣
560636262935953469,10,i did eliz
560636266350116865,7,ur cool
560636268984270848,4,also
560636270980759554,5,diana
560636272662675486,2,no
560636296742305803,20,what ht eufkc modbot
560636312433197068,20,diana i didnt finish
560636323849830411,30,i menat no you wont shit on me
560636364966723599,18,suck my fat dick 😀
560636410798014495,8,lets goo
560636465135222814,39,did you Just catch this hands my Nigga?
560636528951296002,3,bet
560636537855934504,13,ill shit on u
560636610933293067,27,ur just cute in general tbh
560636920384716841,64,i take back what i said earlier_ i got aces fat ass on my mind 😍
560636961228980225,33,yeah ur not wrong im pretty erect
560637025896890368,2,ok
560637047040114688,32,its always horny boy hour for me
560637053864378378,10,dumb bitch
560637164648529925,9,deez nuts
560637168859611146,1,🤣
560637177340493844,8,lets goo
560637190863060992,12,whos with me
560637220600414219,8,ik diana
560637228427247617,9,deez nuts
560637254809157641,5,lmfao
560637259250925568,9,lets gooo
560637285771640850,20,anne frank deez nuts
560637293212467261,10,im 1000 iq
560637323604394014,32,im living an anime haha guys____
560637368923848724,23,god thats such a yikers
560637425085579294,15,fuck you tricia
560637435609088010,6,gn tho
560637474280439809,8,wasnt me
560637477908512778,6,my cat
560637486729134081,22,ran across my keyboard
560637598599741440,59,call me shane dawson cuz my cats lookin real nice on my bed
560637727478120450,35,that was better then mine tbh diana
560637774865104917,8,fuck you
560637838870183936,24,you know what i realized
560637848617877538,19,when my phone broke
560637862442172426,22,i lost all my ass pics
560637865747546112,9,and thats
560637872131276810,5,a dam
560637876887355393,7,fucking
560637879173513242,5,shame
560637909485617173,28,oh well yall saw what i said
560637913935904790,12,so its aight
560637963013455902,29,but in srsly upset about that
560637964825264140,4,like
560637998186758144,56,what am i supposed to jerk off too if not egirl ass pics
560638003513655296,10,ion get it
560638010463485964,5,porn?
560638013756014592,4,lol!
560638049109934092,3,bet
560638135705534484,11,ass > tiddy
560638147139076136,25,all the fucking way diana
560638204018163732,40,yeah send me both eliz and i can compare
560638282698981396,32,bro only snowman noticed that___
560638288101376012,14,thanks snowman
560638292815642679,9,i loe you
560638373962711050,16,haha i would too
560638398331879424,17,peopel already do
560638404161961994,14,they aint even
560638413540425728,16,seen my dick yet
560638544679534610,15,exaCTLY brandon
560638574656225285,37,who is not an ass guy like ion get it
560638610613862410,9,EMO SONGS
560638615194173440,11,hahahahhaha
560638633204514836,26,<@!544520654284914688> emo
560638728134066186,6,proof?
560638740402536480,7,lets go
560638856676769813,48,tricia i play piano is that good enough for you?
560638890134732801,13,YOUTUBE MUSIC
560638903460298753,12,lmaooaoaoaoa
560638942945214467,25,oh so im not good enough?
560638944639713280,3,wtf
560638958980169739,25,tired of this bullshit___
560639021735346187,40,diana whydo you say these hurtful things
560639028035190784,14,i wouldnt dare
560639046032949249,36,<@!340504843665801239> yeah probably
560639138236203038,18,sorry to hear eliz
560639167034556436,16,true story diana
560639209707143178,47,i have no respect for women dont know bout yall
560639229927882763,5,lmfao
560639235976069122,10,im kidding
560639238710755339,5,jokes
560639251465764881,4,dont
560639255206952961,8,shoot me
560639260559147028,10,IM KIDDING
560639295657082891,14,yeah literally
560639302317506581,12,lmAOAOAOOAOA
560639343887122442,21,that was a funny joke
560639357275340802,26,iunno why yall didnt laugh
560639388372041730,9,thank god
560639502746386458,31,im everyones dream eboy i swear
560640158953766912,3,bet
560641463948410898,28,right beside me you mean sav
560641583939321866,4,eliz
560641630718263296,24,im pretty horny actually
560641644022726656,27,<@!544520654284914688> ass?
560641647948333056,9,lets gooo
560641664188678155,19,alpha male approach
560641736385363983,23,and she just ignores me
560641739266981920,6,aight!
560641747286360064,11,no its fine
560642018544713729,29,yeah im pretty cute in my pfp
560642028501860368,8,hi morri
560642076891414549,14,oh god oh fuck
560642119631634437,3,oh!
560642153064431619,11,no big deal
560642176002949125,2,jo
560642217811902478,3,yes
560642220546326606,5,he is
560642288905355285,47,he is known amongst friends as the {redacted}er
560642362473447436,22,alex they got the joke
560642365862445086,7,lets go
560642430022451210,22,who wants to efuck me?
560642459785363476,4,bet?
560642511685681162,25,yeah i kissed my mom once
560642525095002132,16,on the cheek tho
560642771170361365,44,"yeah lets go the minority got with a girl!"
560642779638661131,17,thats how it went
560642833866948659,26,holy shit is alex ever gay
560642861943488513,20,im just kidding alex
560643050959929364,40,yeah well a girl once called me a retard
560643085189775370,10,ok you got
560643088733831169,8,astralis
560643097659441162,19,and astral mixed up
560643102428102670,13,its ok though
560643312361668618,26,i have an essay due monday
560643320955535370,16,and ive done hmm
560643336935833640,26,the introductory paragraph
560643372604194827,2,YO
560643376899293195,13,LMFAOOAOAOAOA
560643400819539980,26,THIS NIGGA JUST PINGED HIM
560643567060779020,29,i mean if that aint the truth
560643582088839189,17,dont look at mine
560643880966684673,13,eat deez nuts
560643883818549259,6,retard
560643919701082125,10,_____ eliz
560643950352793601,16,im sorry brandon
560643954081792015,14,i love you man
560643964961816595,2,oh
560643967084003328,1,!
560643973656608793,7,alright
560643989426929665,9,im crying
560644046641430528,8,so james
560644054107291658,11,ur disabeld
560644056716410880,1,?
560644104887730187,14,say the n word
560644110458028053,13,thatll get em
560644147644596244,30,<@!544520654284914688> ur cute
560644271661645845,5,ayymd
560644314049282079,39,<@!237279229836787712> whip out the gat
560644381758062605,29,why am i always horny brandon
560644387449864241,11,help me out
560644404726071296,1,👀
560644440679645185,23,i said brandon not yall
560644511282233355,41,eliz can you help out instead__??????????
560644544148930594,9,god bless
560644568568037376,15,i aint even see
560651126735634442,32,<@!226463005288824834> hi iddiot
560651132918038528,1,😎
