ID,Server,Channel,Content Length, Content
558114392898797591,SAO: Memory Defrag,global-md,52,when can I get banned <:EugeoYay:521832734159798292>
558115676397633541,SAO: Memory Defrag,global-md,18,Eldrie m+1 3 sword
558117023452758026,SAO: Memory Defrag,off-topic,13,I'm an anchor
558117084282880011,SAO: Memory Defrag,off-topic,11,uncarriable
558117689168756744,SAO: Memory Defrag,off-topic,2,oh
558118033025925120,SAO: Memory Defrag,off-topic,38,yes lily is cute <@180123518334140418>
558118124336185354,SAO: Memory Defrag,off-topic,34,<:GWmiyanoLewd:398867524000677890>
558425800697970719,SAO: Memory Defrag,global-md,13,I don't agree
558430569948643330,SAO: Memory Defrag,global-md,16,usually 700 iirc
558430781433839626,SAO: Memory Defrag,global-md,33,<@130708054676209664> learn stats
558430795199414272,SAO: Memory Defrag,global-md,33,<:ArgoTooStur:436007602183471106>
558431089455136817,SAO: Memory Defrag,global-md,105,depending on the pseudo-rng used it might be actually impossible to 100% crit <:Kappa:315824076012912642>
558431336566751234,SAO: Memory Defrag,global-md,100,it can be_ but it's unlikely they put in the effort to create a true rng <:Kappa:315824076012912642>
558431389176037397,SAO: Memory Defrag,global-md,33,<:FeelsKekMan:356819117233143808>
558431501578928145,SAO: Memory Defrag,global-md,29,just use 100%crit on ss units
558431514254114856,SAO: Memory Defrag,global-md,5,ezwin
558431603572080641,SAO: Memory Defrag,global-md,33,<:ArgoTooStur:436007602183471106>
558431756643074077,SAO: Memory Defrag,global-md,33,<:ArgoTooStur:436007602183471106>
558431956174503936,SAO: Memory Defrag,global-md,11,> steriliza
558432011904352257,SAO: Memory Defrag,global-md,13,nice spelling
558432056066179075,SAO: Memory Defrag,global-md,32,<a:weeeeeeee:528500404367917078>
558436072904720384,SAO: Memory Defrag,new-player-help,104,there are google play achievements but your google play account isn't actually linked to your MD account
558437167769321514,SAO: Memory Defrag,off-topic,36,<:FeelsWeirdManW:547839681119649853>
558438167582081039,SAO: Memory Defrag,global-md,33,<:ArgoTooStur:436007602183471106>
