ID,Server,Channel,Content Length,Content
559049905663115264,FlareTV - PewDiePie vs T-Series,general,21,pewdiepie is failed:<
559050003130351628,FlareTV - PewDiePie vs T-Series,general,26,<:OhNo:514641985340964867>
559050028577062935,FlareTV - PewDiePie vs T-Series,general,19,dont hate pewdiepie
559050052404772895,FlareTV - PewDiePie vs T-Series,general,18,pewdiepie will mad
559050149989449738,FlareTV - PewDiePie vs T-Series,general,14,This is Sparta
559050172953395202,FlareTV - PewDiePie vs T-Series,general,28,<:WokeAF:519229260397936655>
559050301420732436,FlareTV - PewDiePie vs T-Series,general,3,wht
559050338733391892,FlareTV - PewDiePie vs T-Series,general,31,what are you saying how are you
559050385168269354,FlareTV - PewDiePie vs T-Series,general,25,who playing roblox today!
559050432912162816,FlareTV - PewDiePie vs T-Series,general,4,nope
559050445469909012,FlareTV - PewDiePie vs T-Series,general,4,it 0
559050475287347203,FlareTV - PewDiePie vs T-Series,general,17,im Playing roblox
559050529393737748,FlareTV - PewDiePie vs T-Series,general,23,my username is bloodugo
559050558057480207,FlareTV - PewDiePie vs T-Series,general,22,do not hack my account
559050580828487690,FlareTV - PewDiePie vs T-Series,general,7,my pass
559050586377420810,FlareTV - PewDiePie vs T-Series,general,2,is
559050605000392722,FlareTV - PewDiePie vs T-Series,general,6,jake04
559050632196259863,FlareTV - PewDiePie vs T-Series,general,9,at roblox
559050651980791809,FlareTV - PewDiePie vs T-Series,general,4,$hit
559050716979920906,FlareTV - PewDiePie vs T-Series,general,8,you $hit
559050841311674388,FlareTV - PewDiePie vs T-Series,general,13,you $Hit $hit
559050901239627797,FlareTV - PewDiePie vs T-Series,general,30,dont F*cking run away from me!
559050943317016598,FlareTV - PewDiePie vs T-Series,general,36,<:FeelsPingedMan:532225830835978250>
559050982634553344,FlareTV - PewDiePie vs T-Series,general,28,<:WokeAF:519229260397936655>
559051014032850945,FlareTV - PewDiePie vs T-Series,general,21,omae wou mo Shinderiu
559051074149941249,FlareTV - PewDiePie vs T-Series,general,18,i was the adult XD
559051105233797121,FlareTV - PewDiePie vs T-Series,general,4,heck
559051118068498447,FlareTV - PewDiePie vs T-Series,general,8,you $hit
559051180559302666,FlareTV - PewDiePie vs T-Series,general,16,im in PHilipine$
559051199379406870,FlareTV - PewDiePie vs T-Series,general,14,waaaaaaaaaaaaa
559051205632983054,FlareTV - PewDiePie vs T-Series,general,2,wa
559051229574070278,FlareTV - PewDiePie vs T-Series,general,10,im serious
559051239095271424,FlareTV - PewDiePie vs T-Series,general,3,men
559051257856262175,FlareTV - PewDiePie vs T-Series,general,10,im serious
559051330300280836,FlareTV - PewDiePie vs T-Series,general,1,7
559051387254603778,FlareTV - PewDiePie vs T-Series,general,1,7
559051435032051728,FlareTV - PewDiePie vs T-Series,general,1,7
559051436420497418,FlareTV - PewDiePie vs T-Series,general,1,7
559051437682851841,FlareTV - PewDiePie vs T-Series,general,1,7
