ID,Content Length,Content
558814286537818142,31,<@364442901813526528> 3 tickets
558814612305346581,117,<@364442901813526528> Go to settings and then account where you can see if you would be able to request for a refund.
558814878035345418,80,<@364442901813526528> Nope_ I don't think that will work on refunding free stuff
558816114168299520,36,<@364442901813526528> that's alrighr
558816786485739530,30,<@435085668520165377> for what
558816876910608403,46,<@344750529471184897> No_ that was limited LTM
558824974903672863,26,<@397267203420061707> Mhmm
558828287158386699,47,Maybe check requirements  <@522459192355717131>
559035959652384779,26,<@286900099123118081> wym?
560991241865789460,68,<@306806875804925953> You can't get Ikonik Skin without credit card.
560991583529598988,56,<@560835935873400870> Don't tag an epic employer_ please
560991719840153630,60,<@560835935873400870> Instead of tagging_ say their username
560991787989073970,27,!lfg  <@361633798888357888>
