ID,Server,Channel,Content Length,Content
560608476322070531,Axis Order,general,0,
560609172526333962,Axis Order,general,30,<:OMEGALUL:550821172376371212>
560622994880331776,Axis Order,seasonal_shows,8,swag wtf
560623007286951962,Axis Order,seasonal_shows,28,<:jester:497625109721382912>
560623319943217162,Axis Order,league_of_legends,59,https://twitter.com/ClutchGaming/status/1111025695235309569
560629683742310424,Axis Order,general,19,imagine having a pc
560629693876011042,Axis Order,general,16,and not a laptop
560629743364603910,Axis Order,general,0,
560630161876189184,Axis Order,general,7,25% off
560630168356388896,Axis Order,general,1,👀
560630271800508418,Axis Order,general,28,<:Sonwah:556250038758670348>
560631403457544192,Axis Order,general,8,ochinchi
560631463968768010,Axis Order,general,6,weiner
560631543937105933,Axis Order,general,28,<:jester:497625109721382912>
560631551927386125,Axis Order,general,7,creeper
560631923085672458,Axis Order,general,23,so we back in the mione
560949405767958530,Axis Order,league_of_legends,22,<@!161524395959910409>
560949408586399746,Axis Order,league_of_legends,0,
560950193013391371,Axis Order,seasonal_shows,43,https://www.youtube.com/watch?v=ZW7hIjm8mfk
